timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1780416338.802,524333.0,9258.005,8.749932,,,,,,
1780416338.803,524358.0,9257.776,8.749932,,,,,,
1780416338.862,524383.0,9257.946,8.749932,,,,,,
1780416338.862,524408.0,9257.731,8.750165,,,,,,
1780416338.863,524433.0,9257.725,8.750165,,,,,,
1780416338.936,524458.0,9257.723,8.750165,,,,,,
1780416338.938,524483.0,9257.508,8.750398,,,,,,
1780416338.939,524508.0,9257.417,8.750398,,,,,,
1780416338.992,524533.0,9257.521,8.750165,,,,,,
1780416338.992,524558.0,9257.521,8.750165,,,,,,
1780416339.053,524583.0,9257.646,8.749932,,,,,,
1780416339.053,524608.0,9258.025,8.749932,,,,,,
1780416339.120,524633.0,9258.534,8.749932,,,,,,
1780416339.121,524658.0,9258.713,8.749932,,,,,,
1780416339.122,524683.0,9258.562,8.750165,,,,,,
1780416339.177,524708.0,9258.771,8.750165,,,,,,
1780416339.178,524733.0,9258.528,8.750165,,,,,,
1780416339.236,524758.0,9258.882,8.750165,,,,,,
1780416339.237,524783.0,9258.77,8.750165,,,,,,
1780416339.237,524808.0,9258.521,8.750165,,,,,,
1780416339.305,524833.0,9258.619,8.750165,,,,,,
1780416339.305,524858.0,9258.626,8.750398,,,,,,
1780416339.371,524883.0,9258.606,8.750398,,,,,,
1780416339.372,524908.0,9258.509,8.750398,,,,,,
1780416339.372,524933.0,9258.378,8.750398,,,,,,
1780416339.423,524958.0,9258.267,8.750398,,,,,,
1780416339.423,524983.0,9258.202,8.750398,,,,,,
1780416339.488,525008.0,9257.972,8.750398,,,,,,
1780416339.488,525033.0,9257.912,8.750165,,,,,,
1780416339.489,525058.0,9258.148,8.750165,,,,,,
1780416339.555,525083.0,9258.338,8.750165,,,,,,
1780416339.555,525108.0,9258.619,8.749932,,,,,,
1780416339.615,525133.0,9258.874,8.749932,,,,,,
1780416339.617,525158.0,9258.965,8.750165,,,,,,
1780416339.617,525183.0,9259.018,8.750165,,,,,,
1780416339.679,525208.0,9258.926,8.750165,,,,,,
1780416339.680,525233.0,9258.73,8.750165,,,,,,
1780416339.738,525258.0,9258.423,8.750165,,,,,,
1780416339.739,525283.0,9258.24,8.750165,,,,,,
1780416339.740,525308.0,9257.939,8.749932,,,,,,
1780416339.802,525333.0,9257.783,8.749932,,,,,,
1780416339.803,525358.0,9257.751,8.749932,,,,,,
1780416339.864,525383.0,9257.921,8.749932,,,,,,
1780416339.864,525408.0,9257.711,8.749932,,,,,,
1780416339.865,525433.0,9257.888,8.750165,,,,,,
1780416339.935,525458.0,9257.842,8.750165,,,,,,
1780416339.936,525483.0,9257.713,8.749932,,,,,,
1780416339.937,525508.0,9257.392,8.749932,,,,,,
1780416340.000,525533.0,9257.254,8.749932,,,,,,
1780416340.001,525558.0,9257.208,8.749932,,,,,,
1780416340.048,525583.0,9257.463,8.749932,,,,,,
1780416340.049,525608.0,9257.659,8.749932,,,,,,
1780416340.112,525633.0,9257.566,8.749932,,,,,,
1780416340.113,525658.0,9257.841,8.749932,,,,,,
1780416340.113,525683.0,9257.646,8.749932,,,,,,
1780416340.176,525708.0,9257.73,8.749932,,,,,,
