timestamp,sensor1,sensor2,sensor1_smooth,sensor2_smooth,sensor1_smooth_rot,sensor2_smooth_rot,rotation_angle_deg
404352,10557.06,23.415293,10556.4905,23.416519,10556.4905,23.416519,0
404377,10556.983,23.415342,10556.5552,23.4163629,10556.5552,23.4163629,0
404402,10557.272,23.415716,10556.6734,23.4162278,10556.6734,23.4162278,0
404427,10556.991,23.415339,10556.7703,23.4160505,10556.7703,23.4160505,0
404452,10556.702,23.414968,10556.8205,23.4158477,10556.8205,23.4158477,0
404477,10556.669,23.415552,10556.8835,23.4157491,10556.8835,23.4157491,0
404502,10556.737,23.416071,10556.9006,23.4157375,10556.9006,23.4157375,0
404527,10556.983,23.415907,10556.9185,23.415669,10556.9185,23.415669,0
404552,10557.144,23.415802,10556.938,23.4155996,10556.938,23.4155996,0
404577,10557.688,23.416004,10557.0229,23.4155994,10557.0229,23.4155994,0
404602,10557.205,23.41576,10557.0374,23.4156461,10557.0374,23.4156461,0
404627,10557.23,23.416307,10557.0621,23.4157426,10557.0621,23.4157426,0
404652,10557.111,23.416389,10557.046,23.4158099,10557.046,23.4158099,0
404677,10557.161,23.41692,10557.063,23.415968,10557.063,23.415968,0
404702,10557.621,23.416615,10557.1549,23.4161327,10557.1549,23.4161327,0
404727,10557.876,23.417007,10557.2756,23.4162782,10557.2756,23.4162782,0
404752,10558.233,23.416206,10557.4252,23.4162917,10557.4252,23.4162917,0
404777,10557.952,23.416956,10557.5221,23.4163966,10557.5221,23.4163966,0
404802,10557.961,23.416388,10557.6038,23.4164552,10557.6038,23.4164552,0
404827,10558.106,23.416292,10557.6456,23.416484,10557.6456,23.416484,0
404852,10557.996,23.416367,10557.7247,23.4165447,10557.7247,23.4165447,0
404877,10557.655,23.417158,10557.7672,23.4166298,10557.7672,23.4166298,0
404902,10557.791,23.416504,10557.8352,23.4166413,10557.8352,23.4166413,0
404927,10557.911,23.416988,10557.9102,23.4166481,10557.9102,23.4166481,0
404952,10557.929,23.416977,10557.941,23.4166843,10557.941,23.4166843,0
404977,10557.86,23.417021,10557.9394,23.4166857,10557.9394,23.4166857,0
405002,10558.157,23.417391,10557.9318,23.4168042,10557.9318,23.4168042,0
405027,10558.286,23.416739,10557.9652,23.4167825,10557.9652,23.4167825,0
405052,10558.608,23.416523,10558.0299,23.416796,10558.0299,23.416796,0
405077,10558.863,23.416918,10558.1056,23.4168586,10558.1056,23.4168586,0
405102,10559,23.416264,10558.206,23.4168483,10558.206,23.4168483,0
405127,10559.144,23.415602,10558.3549,23.4166927,10558.3549,23.4166927,0
405152,10559.025,23.41568,10558.4783,23.4166103,10558.4783,23.4166103,0
405177,10558.83,23.415245,10558.5702,23.416436,10558.5702,23.416436,0
405202,10558.184,23.415676,10558.5957,23.4163059,10558.5957,23.4163059,0
405227,10558.745,23.4153,10558.6842,23.4161338,10558.6842,23.4161338,0
405252,10558.515,23.414888,10558.72,23.4158835,10558.72,23.4158835,0
405277,10558.744,23.414736,10558.7658,23.4156832,10558.7658,23.4156832,0
405302,10558.685,23.414776,10558.7735,23.4155085,10558.7735,23.4155085,0
405327,10558.65,23.414799,10558.7522,23.4152966,10558.7522,23.4152966,0
405352,10558.522,23.414318,10558.7044,23.415102,10558.7044,23.415102,0
405377,10558.08,23.414612,10558.598,23.415003,10558.598,23.415003,0
405402,10558.335,23.413877,10558.529,23.4148227,10558.529,23.4148227,0
405427,10558.438,23.414375,10558.4898,23.4147357,10558.4898,23.4147357,0
405452,10558.148,23.414568,10558.4862,23.4146249,10558.4862,23.4146249,0
405477,10558.183,23.41511,10558.43,23.4146059,10558.43,23.4146059,0
405502,10558.276,23.415047,10558.4061,23.4146218,10558.4061,23.4146218,0
405527,10558.488,23.415472,10558.3805,23.4146954,10558.3805,23.4146954,0
405552,10558.974,23.41515,10558.4094,23.4147328,10558.4094,23.4147328,0
405577,10560.579,23.415213,10558.6023,23.4147742,10558.6023,23.4147742,0
405602,10561.535,23.415705,10558.9036,23.4149129,10558.9036,23.4149129,0
405627,10562.745,23.415466,10559.3701,23.4149983,10559.3701,23.4149983,0
405652,10564.523,23.415415,10559.9889,23.4151521,10559.9889,23.4151521,0
405677,10565.735,23.416304,10560.7186,23.415345,10560.7186,23.415345,0
405702,10566.05,23.416098,10561.5088,23.415498,10561.5088,23.415498,0
405727,10566.119,23.416615,10562.3024,23.4156485,10562.3024,23.4156485,0
405752,10566.152,23.417156,10563.09,23.4158594,10563.09,23.4158594,0
405777,10565.863,23.417915,10563.8275,23.4161037,10563.8275,23.4161037,0
405802,10565.532,23.418137,10564.4833,23.4164024,10564.4833,23.4164024,0
405827,10564.313,23.418381,10564.8567,23.4167192,10564.8567,23.4167192,0
405852,10562.246,23.419189,10564.9278,23.4170676,10564.9278,23.4170676,0
405877,10560.367,23.419874,10564.69,23.4175084,10564.69,23.4175084,0
405902,10558.293,23.420126,10564.067,23.4179795,10564.067,23.4179795,0
405927,10555.907,23.420582,10563.0842,23.4184073,10563.0842,23.4184073,0
405952,10553.304,23.421183,10561.8096,23.4189158,10561.8096,23.4189158,0
406074,10549.651,23.421919,10560.1628,23.4194462,10560.1628,23.4194462,0
406099,10546.488,23.422329,10558.1964,23.4199635,10558.1964,23.4199635,0
406124,10543.718,23.422476,10555.9819,23.4204196,10555.9819,23.4204196,0
406149,10541.535,23.422234,10553.5822,23.4208293,10553.5822,23.4208293,0
406174,10539.389,23.421967,10551.0898,23.4211879,10551.0898,23.4211879,0
406199,10537.465,23.422115,10548.6117,23.4214805,10548.6117,23.4214805,0
406224,10536.5,23.421629,10546.225,23.421656,10546.225,23.421656,0
406249,10535.487,23.421738,10543.9444,23.4218172,10543.9444,23.4218172,0
406274,10534.755,23.422226,10541.8292,23.4219816,10541.8292,23.4219816,0
406299,10533.371,23.422581,10539.8359,23.4221214,10539.8359,23.4221214,0
406324,10532.246,23.422764,10538.0954,23.4222059,10538.0954,23.4222059,0
406349,10531.188,23.422335,10536.5654,23.4222065,10536.5654,23.4222065,0
406374,10529.589,23.42227,10535.1525,23.4221859,10535.1525,23.4221859,0
406399,10528.676,23.421177,10533.8666,23.4220802,10533.8666,23.4220802,0
406424,10527.612,23.42132,10532.6889,23.4220155,10532.6889,23.4220155,0
406449,10525.414,23.421089,10531.4838,23.4219129,10531.4838,23.4219129,0
406474,10519.372,23.421156,10529.771,23.4218656,10529.771,23.4218656,0
406499,10507.637,23.420506,10526.986,23.4217424,10526.986,23.4217424,0
406524,10494.536,23.420765,10522.9641,23.4215963,10522.9641,23.4215963,0
406549,10483.053,23.419945,10517.9323,23.4213327,10517.9323,23.4213327,0
