timestamp,sensor1,sensor2,sensor1_smooth,sensor2_smooth,sensor1_smooth_rot,sensor2_smooth_rot,rotation_angle_deg
182994,5561.483,2.974481,5561.7661,2.9742506,5561.7661,2.9742506,0
183019,5561.417,2.974507,5561.7114,2.9742852,5561.7114,2.9742852,0
183044,5561.432,2.974501,5561.6746,2.9743129,5561.6746,2.9743129,0
183069,5561.408,2.97451,5561.6416,2.9743391,5561.6416,2.9743391,0
183094,5561.408,2.97451,5561.6138,2.9743633,5561.6138,2.9743633,0
183119,5561.502,2.974474,5561.5665,2.974395,5561.5665,2.974395,0
183144,5561.389,2.974382,5561.5179,2.9744137,5561.5179,2.9744137,0
183169,5561.592,2.974304,5561.4967,2.9744219,5561.4967,2.9744219,0
183194,5561.205,2.974453,5561.4481,2.9744406,5561.4481,2.9744406,0
183219,5561.531,2.974463,5561.4367,2.9744585,5561.4367,2.9744585,0
183244,5561.525,2.974465,5561.4409,2.9744569,5561.4409,2.9744569,0
183269,5561.525,2.974465,5561.4517,2.9744527,5561.4517,2.9744527,0
183294,5561.54,2.97446,5561.4625,2.9744486,5561.4625,2.9744486,0
183319,5561.695,2.9744,5561.4912,2.9744376,5561.4912,2.9744376,0
183344,5561.705,2.974396,5561.5209,2.9744262,5561.5209,2.9744262,0
183369,5561.808,2.974356,5561.5515,2.9744144,5561.5515,2.9744144,0
183394,5561.686,2.974404,5561.5812,2.9744166,5561.5812,2.9744166,0
183419,5562.021,2.974275,5561.6241,2.9744137,5561.6241,2.9744137,0
183444,5561.936,2.974443,5561.6972,2.9744127,5561.6972,2.9744127,0
183469,5561.875,2.974467,5561.7316,2.9744131,5561.7316,2.9744131,0
183494,5561.62,2.974564,5561.7411,2.974423,5561.7411,2.974423,0
183519,5561.625,2.974563,5561.7511,2.9744328,5561.7511,2.9744328,0
183544,5561.605,2.974705,5561.7576,2.9744573,5561.7576,2.9744573,0
183569,5561.7,2.974669,5561.7581,2.9744842,5561.7581,2.9744842,0
183594,5561.582,2.974714,5561.7458,2.974516,5561.7458,2.974516,0
183619,5561.554,2.97459,5561.7204,2.9745394,5561.7204,2.9745394,0
183644,5561.586,2.974577,5561.7104,2.9745567,5561.7104,2.9745567,0
183669,5561.535,2.974597,5561.6618,2.9745889,5561.6618,2.9745889,0
183694,5561.549,2.974592,5561.6231,2.9746038,5561.6231,2.9746038,0
183719,5561.614,2.974567,5561.597,2.9746138,5561.597,2.9746138,0
183744,5561.563,2.974586,5561.5913,2.974616,5561.5913,2.974616,0
183769,5561.761,2.97451,5561.6049,2.9746107,5561.6049,2.9746107,0
183794,5561.705,2.974532,5561.6149,2.9745934,5561.6149,2.9745934,0
183819,5561.799,2.974496,5561.6248,2.9745761,5561.6248,2.9745761,0
183844,5561.601,2.974436,5561.6267,2.9745483,5561.6267,2.9745483,0
183869,5561.69,2.974402,5561.6403,2.9745295,5561.6403,2.9745295,0
183894,5561.699,2.974398,5561.6516,2.9745116,5561.6516,2.9745116,0
183919,5561.694,2.9744,5561.6675,2.9744919,5561.6675,2.9744919,0
183944,5561.686,2.974404,5561.6812,2.9744731,5561.6812,2.9744731,0
183969,5561.723,2.974389,5561.6921,2.9744553,5561.6921,2.9744553,0
183994,5561.751,2.974378,5561.7109,2.9744345,5561.7109,2.9744345,0
184019,5561.808,2.974357,5561.7156,2.9744192,5561.7156,2.9744192,0
184044,5561.633,2.974424,5561.7084,2.9744084,5561.7084,2.9744084,0
184069,5561.718,2.974256,5561.7003,2.9743844,5561.7003,2.9743844,0
184094,5561.558,2.974317,5561.696,2.9743725,5561.696,2.9743725,0
184119,5561.6,2.974301,5561.687,2.9743624,5561.687,2.9743624,0
184144,5561.657,2.974279,5561.6828,2.9743505,5561.6828,2.9743505,0
184169,5561.803,2.974087,5561.6937,2.9743192,5561.6937,2.9743192,0
184194,5561.605,2.974299,5561.6856,2.9743087,5561.6856,2.9743087,0
184219,5561.897,2.974187,5561.703,2.9742885,5561.703,2.9742885,0
184244,5561.931,2.974309,5561.721,2.9742816,5561.721,2.9742816,0
184269,5562.025,2.974273,5561.7427,2.9742732,5561.7427,2.9742732,0
184294,5562.163,2.97422,5561.7957,2.9742528,5561.7957,2.9742528,0
184319,5561.993,2.97415,5561.8232,2.9742422,5561.8232,2.9742422,0
184344,5561.572,2.974176,5561.8246,2.9742281,5561.8246,2.9742281,0
184369,5563.424,2.974007,5562.007,2.9741987,5562.007,2.9741987,0
184394,5568.739,2.974004,5562.7152,2.9741712,5562.7152,2.9741712,0
184419,5576.452,2.973763,5564.1801,2.9741388,5564.1801,2.9741388,0
184444,5584.504,2.973528,5566.47,2.9740617,5566.47,2.9740617,0
184469,5592.305,2.973253,5569.5108,2.9739683,5569.5108,2.9739683,0
184494,5599.754,2.972976,5573.2931,2.973835,5573.2931,2.973835,0
184519,5606.667,2.972769,5577.7573,2.9736846,5577.7573,2.9736846,0
184544,5612.549,2.972547,5582.7959,2.9735173,5582.7959,2.9735173,0
184569,5613.506,2.972451,5587.9472,2.9733474,5587.9472,2.9733474,0
184594,5612.317,2.972502,5593.0217,2.97318,5593.0217,2.97318,0
184619,5611.242,2.972645,5597.8035,2.9730438,5597.8035,2.9730438,0
184644,5610.25,2.972755,5601.9546,2.9729189,5601.9546,2.9729189,0
184669,5609.241,2.972738,5605.2335,2.9728164,5605.2335,2.9728164,0
184694,5608.165,2.97288,5607.5996,2.9727516,5607.5996,2.9727516,0
184719,5607.521,2.972857,5609.1212,2.972712,5609.1212,2.972712,0
184744,5606.712,2.972897,5609.817,2.9727041,5609.817,2.9727041,0
184769,5605.992,2.972903,5609.7495,2.9727175,5609.7495,2.9727175,0
184794,5605.31,2.972895,5609.0256,2.9727523,5609.0256,2.9727523,0
184819,5604.999,2.972744,5608.1749,2.9727816,5608.1749,2.9727816,0
184844,5604.386,2.972844,5607.3818,2.9728158,5607.3818,2.9728158,0
184869,5604.295,2.972608,5606.6871,2.9728121,5606.6871,2.9728121,0
184894,5603.994,2.972723,5606.0615,2.9728089,5606.0615,2.9728089,0
184919,5603.688,2.972841,5605.5062,2.9728192,5605.5062,2.9728192,0
184944,5603.617,2.972869,5605.0514,2.9728181,5605.0514,2.9728181,0
184969,5603.617,2.972868,5604.661,2.9728192,5604.661,2.9728192,0
184994,5601.375,2.973053,5604.1273,2.9728348,5604.1273,2.9728348,0
185019,5595.46,2.973151,5603.0741,2.9728596,5603.0741,2.9728596,0
185044,5587.15,2.973351,5601.2581,2.9729052,5601.2581,2.9729052,0
185069,5578.529,2.973534,5598.6111,2.9729842,5598.6111,2.9729842,0
185094,5569.825,2.973885,5595.155,2.9730883,5595.155,2.9730883,0
185119,5561.502,2.974227,5590.8757,2.9732502,5590.8757,2.9732502,0
185144,5553.69,2.97451,5585.8453,2.9734289,5585.8453,2.9734289,0
185169,5547.06,2.974747,5580.1825,2.9736195,5580.1825,2.9736195,0
185194,5545.591,2.974771,5574.3799,2.9738097,5574.3799,2.9738097,0
185219,5546.083,2.974717,5568.6265,2.9739946,5568.6265,2.9739946,0
185244,5546.279,2.974642,5563.1169,2.9741535,5563.1169,2.9741535,0
185269,5546.636,2.974505,5558.2345,2.9742889,5558.2345,2.9742889,0
185294,5546.95,2.974519,5554.2145,2.9744057,5554.2145,2.9744057,0
185319,5547.428,2.974335,5551.1044,2.9744858,5551.1044,2.9744858,0
185344,5547.507,2.974305,5548.8726,2.9745278,5548.8726,2.9745278,0
185369,5547.633,2.974256,5547.4857,2.9745307,5547.4857,2.9745307,0
185394,5547.554,2.974422,5546.8721,2.9745219,5546.8721,2.9745219,0
185419,5547.614,2.974399,5546.9275,2.9744871,5546.9275,2.9744871,0
185444,5547.371,2.974357,5547.1055,2.9744457,5547.1055,2.9744457,0
185469,5547.154,2.97444,5547.2126,2.974418,5547.2126,2.974418,0
185494,5546.612,2.974648,5547.2459,2.9744186,5547.2459,2.9744186,0
185519,5546.311,2.974629,5547.2134,2.974431,5547.2134,2.974431,0
185544,5545.808,2.974687,5547.0992,2.9744478,5547.0992,2.9744478,0
185569,5545.544,2.974788,5546.9108,2.9744931,5546.9108,2.9744931,0
185594,5545.112,2.974954,5546.6713,2.974558,5546.6713,2.974558,0
185619,5545.225,2.974911,5546.4305,2.9746235,5546.4305,2.9746235,0
185644,5545.018,2.974991,5546.1769,2.9746804,5546.1769,2.9746804,0
185669,5545.243,2.974904,5545.9398,2.9747309,5545.9398,2.9747309,0
185694,5545.318,2.97501,5545.7345,2.9747962,5545.7345,2.9747962,0
185719,5545.699,2.974864,5545.589,2.9748386,5545.589,2.9748386,0
185744,5545.962,2.974898,5545.524,2.9748636,5545.524,2.9748636,0
185769,5546.112,2.97484,5545.5041,2.9748847,5545.5041,2.9748847,0
185794,5546.121,2.974837,5545.5354,2.9748997,5545.5354,2.9748997,0
185819,5546.183,2.974813,5545.5993,2.9749022,5545.5993,2.9749022,0
185844,5546.15,2.974962,5545.7031,2.974903,5545.7031,2.974903,0
185869,5546.173,2.974953,5545.7979,2.9749072,5545.7979,2.9749072,0
185894,5546.131,2.974969,5545.9092,2.974905,5545.9092,2.974905,0
185919,5546.295,2.974906,5546.0144,2.9749052,5546.0144,2.9749052,0
185944,5545.934,2.975045,5546.076,2.9749087,5546.076,2.9749087,0
185969,5545.756,2.975249,5546.0817,2.9749472,5546.0817,2.9749472,0
185994,5545.737,2.975256,5546.0592,2.974983,5546.0592,2.974983,0
186019,5545.77,2.975108,5546.025,2.9750098,5546.025,2.9750098,0
186044,5545.315,2.975282,5545.9444,2.9750543,5545.9444,2.9750543,0
186069,5545.099,2.975366,5545.836,2.9751096,5545.836,2.9751096,0
186094,5544.827,2.975334,5545.7037,2.9751468,5545.7037,2.9751468,0
186119,5544.603,2.975286,5545.5467,2.9751801,5545.5467,2.9751801,0
186144,5544.143,2.975327,5545.3479,2.9752159,5545.3479,2.9752159,0
186169,5543.881,2.975292,5545.1065,2.9752545,5545.1065,2.9752545,0
186194,5543.154,2.975437,5544.8285,2.9752937,5544.8285,2.9752937,0
186219,5542.718,2.975469,5544.5247,2.9753157,5544.5247,2.9753157,0
186244,5542.104,2.975435,5544.1614,2.9753336,5544.1614,2.9753336,0
186269,5541.631,2.975346,5543.7475,2.9753574,5543.7475,2.9753574,0
186294,5541.021,2.97558,5543.3181,2.9753872,5543.3181,2.9753872,0
186319,5540.796,2.975531,5542.8878,2.9754037,5542.8878,2.9754037,0
