timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1780432910.899,1075270.0,4382.885,2.545762,,,,,status,l_h=11.800000 c_f=220.000000 q=25.000000
1780432910.900,1075295.0,4382.856,2.545763,,,,,,
1780432910.901,1075320.0,4382.815,2.545762,,,,,,
1780432910.962,1075345.0,4382.842,2.545763,,,,,,
1780432910.964,1075370.0,4382.842,2.545763,,,,,,
1780432911.026,1075395.0,4382.938,2.545763,,,,,,
1780432911.028,1075420.0,4383.084,2.545763,,,,,,
1780432911.029,1075445.0,4383.05,2.545763,,,,,,
1780432911.091,1075470.0,4383.012,2.545763,,,,,,
1780432911.093,1075495.0,4383.009,2.545888,,,,,,
1780432911.158,1075520.0,4383.056,2.546013,,,,,,
1780432911.160,1075545.0,4383.047,2.546013,,,,,,
1780432911.173,1075570.0,4383.103,2.546013,,,,,,
1780432911.174,1075595.0,4383.129,2.546013,,,,,,
1780432911.237,1075620.0,4382.927,2.546139,,,,,,
1780432911.238,1075645.0,4382.789,2.546139,,,,,,
1780432911.288,1075670.0,4382.892,2.546139,,,,,,
1780432911.289,1075695.0,4382.895,2.546013,,,,,,
1780432911.361,1075720.0,4382.875,2.546013,,,,,,
1780432911.363,1075745.0,4382.824,2.546013,,,,,,
1780432911.364,1075770.0,4382.648,2.546013,,,,,,
1780432911.430,1075795.0,4382.639,2.546013,,,,,,
1780432911.431,1075820.0,4382.798,2.545888,,,,,,
1780432911.431,1075845.0,4382.769,2.545763,,,,,,
1780432911.481,1075870.0,4382.854,2.545637,,,,,,
1780432911.483,1075895.0,4382.801,2.545637,,,,,,
1780432911.552,1075920.0,4382.98,2.545637,,,,,,
1780432911.554,1075945.0,4383.074,2.545637,,,,,,
1780432911.555,1075970.0,4382.872,2.545637,,,,,,
1780432911.624,1075995.0,4382.927,2.545637,,,,,,
1780432911.626,1076020.0,4382.965,2.545637,,,,,,
1780432911.628,1076045.0,4382.916,2.545637,,,,,,
1780432911.683,1076070.0,4382.968,2.545637,,,,,,
1780432911.684,1076095.0,4383.053,2.545637,,,,,,
1780432911.758,1076120.0,4383.056,2.545511,,,,,,
1780432911.759,1076145.0,4382.886,2.545386,,,,,,
1780432911.760,1076170.0,4382.857,2.545386,,,,,,
1780432911.816,1076195.0,4382.84,2.545386,,,,,,
1780432911.817,1076220.0,4382.846,2.545386,,,,,,
1780432911.870,1076245.0,4382.857,2.545261,,,,,,
1780432911.870,1076270.0,4383.015,2.545261,,,,,,
1780432911.918,1076295.0,4382.787,2.545261,,,,,,
1780432911.918,1076320.0,4382.666,2.545261,,,,,,
1780432911.981,1076345.0,4382.719,2.545261,,,,,,
1780432911.982,1076370.0,4382.73,2.545261,,,,,,
1780432911.983,1076395.0,4382.771,2.545386,,,,,,
1780432912.045,1076420.0,4382.824,2.545511,,,,,,
1780432912.047,1076445.0,4382.743,2.545511,,,,,,
1780432912.048,1076470.0,4382.827,2.545511,,,,,,
1780432912.100,1076495.0,4382.704,2.545511,,,,,,
1780432912.101,1076520.0,4382.689,2.545511,,,,,,
1780432912.175,1076545.0,4382.578,2.545511,,,,,,
1780432912.177,1076570.0,4382.461,2.545512,,,,,,
1780432912.179,1076595.0,4382.552,2.545512,,,,,,
1780432912.233,1076620.0,4382.675,2.545637,,,,,,
1780432912.235,1076645.0,4382.604,2.545637,,,,,,
1780432912.298,1076670.0,4382.473,2.545637,,,,,,
1780432912.300,1076695.0,4382.46,2.545637,,,,,,
1780432912.302,1076720.0,4382.431,2.545637,,,,,,
1780432912.361,1076745.0,4382.344,2.545637,,,,,,
1780432912.362,1076770.0,4382.241,2.545637,,,,,,
1780432912.421,1076795.0,4382.35,2.545637,,,,,,
1780432912.421,1076820.0,4382.429,2.545637,,,,,,
1780432912.422,1076845.0,4382.355,2.545763,,,,,,
1780432912.471,1076870.0,4382.455,2.545762,,,,,,
1780432912.472,1076895.0,4382.564,2.545763,,,,,,
1780432912.536,1076920.0,4382.631,2.545762,,,,,,
1780432912.538,1076945.0,4382.648,2.545762,,,,,,
1780432912.599,1076970.0,4382.611,2.545762,,,,,,
1780432912.600,1076995.0,4382.757,2.545762,,,,,,
1780432912.602,1077020.0,4382.786,2.545637,,,,,,
1780432912.672,1077045.0,4382.638,2.545511,,,,,,
