timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1780435442.278,3606647.0,3407.113,2.651031,,,,,status,l_h=11.800000 c_f=220.000000 q=25.000000
1780435442.280,3606672.0,3407.153,2.650903,,,,,,
1780435442.281,3606697.0,3407.072,2.650903,,,,,,
1780435442.282,3606722.0,3407.07,2.650775,,,,,,
1780435442.283,3606747.0,3407.148,2.650903,,,,,,
1780435442.360,3606772.0,3407.069,2.650903,,,,,,
1780435442.362,3606797.0,3407.069,2.651031,,,,,,
1780435442.363,3606822.0,3407.099,2.651031,,,,,,
1780435442.477,3606847.0,3407.034,2.651159,,,,,,
1780435442.479,3606872.0,3407.027,2.651159,,,,,,
1780435442.480,3606897.0,3407.088,2.651159,,,,,,
1780435442.481,3606922.0,3407.019,2.651159,,,,,,
1780435442.483,3606947.0,3407.088,2.651159,,,,,,
1780435442.594,3606972.0,3407.099,2.651159,,,,,,
1780435442.596,3606997.0,3407.003,2.651031,,,,,,
1780435442.598,3607022.0,3407.025,2.651031,,,,,,
1780435442.599,3607047.0,3407.032,2.650903,,,,,,
1780435442.713,3607072.0,3406.954,2.650903,,,,,,
1780435442.714,3607097.0,3406.968,2.651031,,,,,,
1780435442.716,3607122.0,3406.993,2.651159,,,,,,
1780435442.717,3607147.0,3406.942,2.651287,,,,,,
1780435442.718,3607172.0,3406.923,2.651415,,,,,,
1780435442.828,3607197.0,3406.962,2.651287,,,,,,
1780435442.830,3607222.0,3406.92,2.651159,,,,,,
1780435442.831,3607247.0,3406.909,2.651159,,,,,,
1780435442.832,3607272.0,3406.953,2.651031,,,,,,
1780435442.833,3607297.0,3406.898,2.651159,,,,,,
1780435442.945,3607322.0,3406.922,2.651287,,,,,,
1780435442.947,3607347.0,3406.989,2.651415,,,,,,
1780435442.948,3607372.0,3406.924,2.651415,,,,,,
1780435442.949,3607397.0,3406.948,2.651415,,,,,,
1780435443.078,3607422.0,3407.007,2.651287,,,,,,
1780435443.080,3607447.0,3406.986,2.651287,,,,,,
1780435443.081,3607472.0,3407.028,2.651287,,,,,,
1780435443.082,3607497.0,3407.083,2.651415,,,,,,
1780435443.083,3607522.0,3407.005,2.651543,,,,,,
1780435443.084,3607547.0,3407.037,2.651543,,,,,,
1780435443.211,3607572.0,3407.053,2.651415,,,,,,
1780435443.212,3607597.0,3406.996,2.651415,,,,,,
1780435443.214,3607622.0,3407.072,2.651415,,,,,,
1780435443.216,3607647.0,3407.1,2.651414,,,,,,
1780435443.217,3607672.0,3407.063,2.651543,,,,,,
1780435443.310,3607697.0,3407.131,2.651543,,,,,,
1780435443.311,3607722.0,3407.15,2.651415,,,,,,
1780435443.312,3607747.0,3407.09,2.651414,,,,,,
1780435443.313,3607772.0,3407.116,2.651287,,,,,,
1780435443.428,3607797.0,3407.15,2.651287,,,,,,
1780435443.430,3607822.0,3407.092,2.651287,,,,,,
1780435443.431,3607847.0,3407.14,2.651287,,,,,,
1780435443.433,3607872.0,3407.163,2.651415,,,,,,
1780435443.434,3607897.0,3407.106,2.651543,,,,,,
1780435443.544,3607922.0,3407.108,2.651543,,,,,,
1780435443.546,3607947.0,3407.167,2.651415,,,,,,
1780435443.547,3607972.0,3407.096,2.651415,,,,,,
1780435443.548,3607997.0,3407.085,2.651287,,,,,,
1780435443.652,3608022.0,3407.083,2.651414,,,,,,
1780435443.653,3608047.0,3407.039,2.651415,,,,,,
1780435443.654,3608072.0,3407.044,2.651543,,,,,,
1780435443.655,3608097.0,3407.072,2.651415,,,,,,
1780435443.727,3608122.0,3406.996,2.651287,,,,,,
1780435443.728,3608147.0,3407.009,2.651287,,,,,,
1780435443.729,3608172.0,3407.042,2.651159,,,,,,
1780435443.827,3608197.0,3406.929,2.651287,,,,,,
1780435443.828,3608222.0,3406.931,2.651415,,,,,,
1780435443.829,3608247.0,3406.943,2.651415,,,,,,
1780435443.830,3608272.0,3406.86,2.651415,,,,,,
1780435443.831,3608297.0,3406.876,2.651415,,,,,,
1780435443.930,3608322.0,3406.915,2.651415,,,,,,
1780435443.932,3608347.0,3406.846,2.651543,,,,,,
1780435443.933,3608372.0,3406.89,2.651415,,,,,,
1780435443.934,3608397.0,3406.908,2.651415,,,,,,
1780435444.043,3608422.0,3406.867,2.651415,,,,,,
1780435444.044,3608447.0,3406.906,2.651543,,,,,,
1780435444.045,3608472.0,3406.893,2.651671,,,,,,
1780435444.046,3608497.0,3406.825,2.651671,,,,,,
1780435444.128,3608522.0,3406.853,2.651671,,,,,,
1780435444.129,3608547.0,3406.892,2.651671,,,,,,
1780435444.130,3608572.0,3406.823,2.651799,,,,,,
1780435444.135,3608597.0,3406.866,2.651671,,,,,,
1780435444.159,3608622.0,3406.915,2.651799,,,,,,
1780435444.183,3608647.0,3406.917,2.651799,,,,,,
1780435444.218,3608672.0,3406.883,2.651799,,,,,,
1780435444.242,3608697.0,3406.9,2.651799,,,,,,
1780435444.266,3608722.0,3406.83,2.651927,,,,,,
1780435444.291,3608747.0,3406.872,2.651927,,,,,,
1780435444.315,3608772.0,3406.913,2.651799,,,,,,
1780435444.338,3608797.0,3406.906,2.651927,,,,,,
1780435444.361,3608822.0,3406.986,2.651927,,,,,,
1780435444.384,3608847.0,3407.035,2.651799,,,,,,
1780435444.409,3608872.0,3406.987,2.651927,,,,,,
1780435444.432,3608897.0,3407.022,2.651799,,,,,,
1780435444.466,3608922.0,3407.061,2.651671,,,,,,
1780435444.490,3608947.0,3407.003,2.651671,,,,,,
1780435444.513,3608972.0,3406.994,2.651671,,,,,,
1780435444.539,3608997.0,3407.01,2.651671,,,,,status,l_h=11.800000 c_f=220.000000 q=25.000000
1780435444.643,3609022.0,3406.971,2.651799,,,,,,
1780435444.644,3609047.0,3406.984,2.651671,,,,,,
1780435444.644,3609072.0,3407.022,2.651543,,,,,,
1780435444.645,3609097.0,3406.973,2.651415,,,,,,
1780435444.743,3609122.0,3407.031,2.651287,,,,,,
1780435444.744,3609147.0,3407.048,2.651159,,,,,,
1780435444.746,3609172.0,3406.998,2.651031,,,,,,
1780435444.747,3609197.0,3407.063,2.651031,,,,,,
1780435444.843,3609222.0,3407.1,2.651159,,,,,,
1780435444.844,3609247.0,3407.03,2.651159,,,,,,
1780435444.846,3609272.0,3407.048,2.651159,,,,,,
1780435444.847,3609297.0,3407.115,2.651159,,,,,,
1780435444.944,3609322.0,3407.053,2.651159,,,,,,
1780435444.946,3609347.0,3407.078,2.651031,,,,,,
1780435444.947,3609372.0,3407.106,2.651031,,,,,,
1780435444.948,3609397.0,3407.078,2.651031,,,,,,
1780435445.043,3609422.0,3407.049,2.651031,,,,,,
1780435445.043,3609447.0,3407.056,2.651031,,,,,,
1780435445.044,3609472.0,3407.017,2.651031,,,,,,
1780435445.044,3609497.0,3407.021,2.650903,,,,,,
1780435445.144,3609522.0,3407.067,2.650903,,,,,,
1780435445.145,3609547.0,3407.015,2.650903,,,,,,
1780435445.146,3609572.0,3407.024,2.651031,,,,,,
1780435445.147,3609597.0,3407.101,2.650903,,,,,,
1780435445.259,3609622.0,3407.046,2.650903,,,,,,
1780435445.260,3609647.0,3407.044,2.650775,,,,,,
1780435445.261,3609672.0,3407.079,2.650903,,,,,,
1780435445.263,3609697.0,3407.003,2.650903,,,,,,
1780435445.264,3609722.0,3407.044,2.651031,,,,,,
1780435445.360,3609747.0,3407.094,2.651031,,,,,,
1780435445.362,3609772.0,3407.035,2.651031,,,,,,
1780435445.363,3609797.0,3407.071,2.651159,,,,,,
1780435445.364,3609822.0,3407.079,2.651031,,,,,,
1780435445.460,3609847.0,3407.009,2.650903,,,,,,
1780435445.462,3609872.0,3407.048,2.650903,,,,,,
1780435445.463,3609897.0,3407.09,2.650903,,,,,,
1780435445.464,3609922.0,3406.964,2.650903,,,,,,
1780435445.577,3609947.0,3407.018,2.650775,,,,,,
1780435445.582,3609972.0,3407.076,2.650903,,,,,,
1780435445.583,3609997.0,3407.018,2.650903,,,,,,
1780435445.584,3610022.0,3407.005,2.651031,,,,,,
1780435445.585,3610047.0,3407.037,2.650903,,,,,,
1780435445.676,3610072.0,3406.985,2.650903,,,,,,
1780435445.677,3610097.0,3406.991,2.650903,,,,,,
1780435445.677,3610122.0,3407.046,2.650903,,,,,,
1780435445.777,3610147.0,3406.961,2.650903,,,,,,
1780435445.778,3610172.0,3406.95,2.651031,,,,,,
1780435445.779,3610197.0,3406.992,2.650903,,,,,,
1780435445.780,3610222.0,3406.948,2.650903,,,,,,
1780435445.781,3610247.0,3406.973,2.650903,,,,,,
1780435445.896,3610272.0,3406.994,2.651031,,,,,,
1780435445.898,3610297.0,3406.95,2.650903,,,,,,
1780435445.899,3610322.0,3406.961,2.651031,,,,,,
1780435445.900,3610347.0,3407.007,2.651031,,,,,,
1780435446.012,3610372.0,3406.931,2.651159,,,,,,
1780435446.014,3610397.0,3406.954,2.651159,,,,,,
1780435446.015,3610422.0,3407.021,2.651159,,,,,,
1780435446.016,3610447.0,3406.948,2.651159,,,,,,
1780435446.017,3610472.0,3406.954,2.651159,,,,,,
1780435446.129,3610497.0,3407.009,2.651159,,,,,,
1780435446.131,3610522.0,3406.95,2.651159,,,,,,
1780435446.132,3610547.0,3407.09,2.651287,,,,,,
1780435446.134,3610572.0,3407.138,2.651287,,,,,,
1780435446.135,3610597.0,3407.042,2.651287,,,,,,
1780435446.229,3610622.0,3407.068,2.651287,,,,,,
1780435446.231,3610647.0,3407.136,2.651159,,,,,,
1780435446.233,3610672.0,3407.072,2.651159,,,,,,
1780435446.235,3610697.0,3407.127,2.651031,,,,,,
1780435446.327,3610722.0,3407.159,2.651031,,,,,,
1780435446.328,3610747.0,3407.104,2.651031,,,,,,
1780435446.328,3610772.0,3407.142,2.651031,,,,,,
1780435446.428,3610797.0,3407.184,2.651031,,,,,,
1780435446.430,3610822.0,3407.139,2.651031,,,,,,
1780435446.431,3610847.0,3407.155,2.651031,,,,,,
1780435446.432,3610872.0,3407.182,2.651159,,,,,,
1780435446.433,3610897.0,3407.173,2.651031,,,,,,
1780435446.545,3610922.0,3407.167,2.651159,,,,,,
