timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1780434453.994,2618376.0,2634.785,2.65436,,,,,status,l_h=11.800000 c_f=220.000000 q=15.000000
1780434453.995,2618401.0,2634.774,2.654424,,,,,,
1780434453.996,2618426.0,2634.752,2.65436,,,,,,
1780434454.077,2618451.0,2634.734,2.654296,,,,,,
1780434454.079,2618476.0,2634.774,2.65436,,,,,,
1780434454.080,2618501.0,2634.786,2.654296,,,,,,
1780434454.081,2618526.0,2634.841,2.654296,,,,,,
1780434454.160,2618551.0,2634.808,2.65436,,,,,,
1780434454.161,2618576.0,2634.806,2.65436,,,,,,
1780434454.162,2618601.0,2634.766,2.654424,,,,,,
1780434454.226,2618626.0,2634.748,2.65436,,,,,,
1780434454.228,2618651.0,2634.756,2.654424,,,,,,
1780434454.240,2618676.0,2634.786,2.65436,,,,,,
1780434454.308,2618701.0,2634.753,2.65436,,,,,,
1780434454.308,2618726.0,2634.734,2.65436,,,,,,
1780434454.309,2618751.0,2634.71,2.654424,,,,,,
1780434454.377,2618776.0,2634.743,2.654424,,,,,,
1780434454.378,2618801.0,2634.757,2.654488,,,,,,
1780434454.378,2618826.0,2634.787,2.654488,,,,,,
1780434454.442,2618851.0,2634.794,2.654488,,,,,,
1780434454.443,2618876.0,2634.787,2.654424,,,,,,
1780434454.492,2618901.0,2634.751,2.654488,,,,,,
1780434454.493,2618926.0,2634.756,2.654552,,,,,,
1780434454.575,2618951.0,2634.788,2.654552,,,,,,
1780434454.576,2618976.0,2634.756,2.654488,,,,,,
1780434454.576,2619001.0,2634.76,2.654424,,,,,,
1780434454.577,2619026.0,2634.782,2.65436,,,,,,
1780434454.659,2619051.0,2634.726,2.65436,,,,,,
1780434454.661,2619076.0,2634.758,2.65436,,,,,,
1780434454.661,2619101.0,2634.833,2.65436,,,,,,
1780434454.729,2619126.0,2634.829,2.65436,,,,,,
1780434454.729,2619151.0,2634.84,2.654296,,,,,,
1780434454.730,2619176.0,2634.842,2.65436,,,,,,
1780434454.801,2619201.0,2634.794,2.65436,,,,,,
1780434454.802,2619226.0,2634.817,2.654424,,,,,,
1780434454.802,2619251.0,2634.823,2.654424,,,,,,
1780434454.875,2619276.0,2634.815,2.654424,,,,,,
1780434454.875,2619301.0,2634.82,2.65436,,,,,,
1780434454.928,2619326.0,2634.802,2.65436,,,,,,
1780434454.929,2619351.0,2634.838,2.654296,,,,,,
1780434454.929,2619376.0,2634.843,2.654296,,,,,,
1780434454.993,2619401.0,2634.881,2.654232,,,,,,
1780434454.995,2619426.0,2634.898,2.654232,,,,,,
1780434455.084,2619451.0,2634.89,2.654232,,,,,,
1780434455.085,2619476.0,2634.857,2.654296,,,,,,
1780434455.087,2619501.0,2634.88,2.654296,,,,,,
1780434455.089,2619526.0,2634.936,2.654359,,,,,,
1780434455.161,2619551.0,2634.984,2.654423,,,,,,
1780434455.164,2619576.0,2634.986,2.654488,,,,,,
1780434455.166,2619601.0,2634.976,2.654552,,,,,,
1780434455.244,2619626.0,2634.963,2.654552,,,,,,
1780434455.246,2619651.0,2634.975,2.654552,,,,,,
1780434455.247,2619676.0,2634.989,2.654552,,,,,,
1780434455.255,2619701.0,2635.016,2.654616,,,,,,
1780434455.287,2619726.0,2635.053,2.654552,,,,,,
1780434455.309,2619751.0,2635.031,2.654616,,,,,,
1780434455.331,2619776.0,2634.995,2.654616,,,,,,
1780434455.355,2619801.0,2634.987,2.654552,,,,,,
1780434455.379,2619826.0,2635.009,2.654616,,,,,,
1780434455.413,2619851.0,2635.029,2.654552,,,,,,
1780434455.436,2619876.0,2635.054,2.654552,,,,,,
1780434455.460,2619901.0,2635.039,2.654552,,,,,,
1780434455.484,2619926.0,2635.014,2.654552,,,,,,
1780434455.508,2619951.0,2635.042,2.654488,,,,,,
1780434455.531,2619976.0,2635.071,2.654552,,,,,,
1780434455.556,2620001.0,2635.053,2.654488,,,,,,
1780434455.580,2620026.0,2635.027,2.654488,,,,,,
1780434455.614,2620051.0,2635.015,2.654424,,,,,,
1780434455.638,2620076.0,2634.997,2.654424,,,,,,
1780434455.655,2620101.0,2635.018,2.654488,,,,,status,l_h=11.800000 c_f=220.000000 q=15.000000
1780434455.743,2620126.0,2635.017,2.654488,,,,,,
1780434455.745,2620151.0,2634.977,2.654488,,,,,,
1780434455.746,2620176.0,2635.007,2.654488,,,,,,
1780434455.807,2620201.0,2634.994,2.654424,,,,,,
1780434455.807,2620226.0,2635.026,2.654424,,,,,,
1780434455.808,2620251.0,2635.069,2.654488,,,,,,
1780434455.875,2620276.0,2635.093,2.654552,,,,,,
1780434455.876,2620301.0,2635.093,2.654552,,,,,,
1780434455.877,2620326.0,2635.062,2.654488,,,,,,
1780434455.960,2620351.0,2635.005,2.654488,,,,,,
1780434455.961,2620376.0,2635.042,2.654488,,,,,,
1780434455.962,2620401.0,2634.998,2.654552,,,,,,
1780434456.023,2620426.0,2634.971,2.654488,,,,,,
1780434456.024,2620451.0,2634.944,2.654552,,,,,,
1780434456.110,2620476.0,2634.944,2.654552,,,,,,
1780434456.111,2620501.0,2634.919,2.654552,,,,,,
1780434456.112,2620526.0,2634.957,2.654552,,,,,,
1780434456.113,2620551.0,2634.98,2.654616,,,,,,
1780434456.210,2620576.0,2634.986,2.654615,,,,,,
1780434456.211,2620601.0,2634.939,2.654615,,,,,,
1780434456.213,2620626.0,2634.93,2.654615,,,,,,
1780434456.214,2620651.0,2634.893,2.654615,,,,,,
1780434456.293,2620676.0,2634.888,2.65468,,,,,,
1780434456.294,2620701.0,2634.894,2.654744,,,,,,
1780434456.295,2620726.0,2634.929,2.654744,,,,,,
1780434456.379,2620751.0,2634.945,2.654744,,,,,,
1780434456.381,2620776.0,2634.897,2.654744,,,,,,
1780434456.382,2620801.0,2634.878,2.65468,,,,,,
1780434456.383,2620826.0,2634.885,2.65468,,,,,,
1780434456.443,2620851.0,2634.942,2.654616,,,,,,
1780434456.444,2620876.0,2634.951,2.654616,,,,,,
1780434456.509,2620901.0,2634.964,2.654552,,,,,,
1780434456.511,2620926.0,2634.946,2.654616,,,,,,
1780434456.512,2620951.0,2634.954,2.654616,,,,,,
1780434456.575,2620976.0,2634.922,2.654616,,,,,,
1780434456.575,2621001.0,2634.915,2.654616,,,,,,
1780434456.627,2621026.0,2634.902,2.654552,,,,,,
1780434456.628,2621051.0,2634.899,2.654616,,,,,,
1780434456.629,2621076.0,2634.886,2.654552,,,,,,
1780434456.709,2621101.0,2634.863,2.654552,,,,,,
