timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1780416229.267,414777.0,9433.543,10.032722,,,,,status,l_h=42.000000 c_f=220.000000 q=24.000000
1780416229.268,414802.0,9433.656,10.032429,,,,,,
1780416229.268,414827.0,9433.637,10.032673,,,,,,
1780416229.313,414852.0,9433.486,10.032985,,,,,,
1780416229.314,414877.0,9433.604,10.03269,,,,,,
1780416229.366,414902.0,9433.488,10.032985,,,,,,
1780416229.367,414927.0,9433.4,10.033031,,,,,,
1780416229.413,414952.0,9433.182,10.033378,,,,,,
1780416229.414,414977.0,9433.338,10.033297,,,,,,
1780416229.478,415002.0,9433.393,10.033268,,,,,,
1780416229.480,415027.0,9433.299,10.033318,,,,,,
1780416229.536,415052.0,9433.406,10.033028,,,,,,
1780416229.547,415077.0,9433.623,10.032914,,,,,,
1780416229.547,415102.0,9433.305,10.03308,,,,,,
1780416229.597,415127.0,9433.105,10.033418,,,,,,
1780416229.598,415152.0,9432.91,10.033755,,,,,,
1780416229.666,415177.0,9433.223,10.033591,,,,,,
1780416229.667,415202.0,9433.018,10.033698,,,,,,
1780416229.668,415227.0,9432.57,10.034165,,,,,,
1780416229.731,415252.0,9433.025,10.034162,,,,,,
1780416229.733,415277.0,9432.781,10.034289,,,,,,
1780416229.734,415302.0,9432.924,10.034215,,,,,,
1780416229.783,415327.0,9433.059,10.034144,,,,,,
1780416229.783,415352.0,9433.105,10.03412,,,,,,
1780416229.847,415377.0,9433.105,10.03412,,,,,,
1780416229.848,415402.0,9432.693,10.034335,,,,,,
1780416229.919,415427.0,9432.705,10.034562,,,,,,
1780416229.920,415452.0,9433.059,10.034144,,,,,,
1780416229.920,415477.0,9433.189,10.033843,,,,,,
1780416229.982,415502.0,9433.223,10.034059,,,,,,
1780416229.983,415527.0,9433.182,10.033847,,,,,,
1780416229.983,415552.0,9433.42,10.033488,,,,,,
1780416230.048,415577.0,9433.936,10.033219,,,,,,
1780416230.048,415602.0,9433.922,10.032991,,,,,,
1780416230.097,415627.0,9433.93,10.032988,,,,,,
1780416230.097,415652.0,9433.793,10.033058,,,,,,
1780416230.158,415677.0,9434.004,10.032948,,,,,,
1780416230.158,415702.0,9434.1,10.032899,,,,,,
1780416230.158,415727.0,9434.051,10.033158,,,,,,
1780416230.233,415752.0,9434.039,10.03293,,,,,,
1780416230.235,415777.0,9434.152,10.032637,,,,,,
1780416230.237,415802.0,9433.84,10.032567,,,,,,
1780416230.295,415827.0,9433.908,10.032764,,,,,,
1780416230.296,415852.0,9434.342,10.032538,,,,,,
1780416230.347,415877.0,9434.377,10.032286,,,,,,
1780416230.347,415902.0,9434.668,10.032368,,,,,,
1780416230.415,415927.0,9434.635,10.032151,,,,,,
1780416230.417,415952.0,9434.656,10.032141,,,,,,
1780416230.418,415977.0,9434.553,10.03196,,,,,,
1780416230.481,416002.0,9434.242,10.032124,,,,,,
1780416230.481,416027.0,9434.654,10.031907,,,,,,
1780416230.482,416052.0,9434.527,10.031974,,,,,,
1780416230.550,416077.0,9434.174,10.032159,,,,,,
1780416230.551,416102.0,9434.16,10.032166,,,,,,
1780416230.601,416127.0,9434.391,10.031812,,,,,,
1780416230.601,416152.0,9434.621,10.031692,,,,,,
1780416230.669,416177.0,9433.949,10.032276,,,,,,
1780416230.670,416202.0,9433.766,10.032372,,,,,,
1780416230.670,416227.0,9433.867,10.032319,,,,,,
1780416230.734,416252.0,9433.809,10.03235,,,,,,
1780416230.735,416277.0,9433.883,10.032311,,,,,,
1780416230.736,416302.0,9433.549,10.032485,,,,,,
1780416230.799,416327.0,9433.508,10.032507,,,,,,
1780416230.800,416352.0,9433.604,10.032456,,,,,,
1780416230.850,416377.0,9433.678,10.032417,,,,,,
1780416230.851,416402.0,9433.406,10.032559,,,,,,
1780416230.912,416427.0,9433.461,10.032764,,,,,,
1780416230.913,416452.0,9433.449,10.032537,,,,,,
1780416230.913,416477.0,9433.34,10.032595,,,,,,
1780416230.978,416502.0,9433.225,10.032888,,,,,,
1780416230.979,416527.0,9432.885,10.032833,,,,,,
1780416231.047,416552.0,9432.953,10.032797,,,,,,
1780416231.048,416577.0,9432.838,10.032623,,,,,,
1780416231.048,416602.0,9433.047,10.032747,,,,,,
1780416231.108,416627.0,9433.203,10.0329,,,,,,
1780416231.109,416652.0,9433.406,10.032793,,,,,,
1780416231.110,416677.0,9433.684,10.032414,,,,,,
1780416231.165,416702.0,9433.705,10.032403,,,,,,
1780416231.166,416727.0,9433.719,10.03263,,,,,,
1780416231.231,416752.0,9433.623,10.032681,,,,,,
1780416231.231,416777.0,9432.965,10.033257,,,,,,
1780416231.232,416802.0,9433.508,10.032741,,,,,,
1780416231.287,416827.0,9433.514,10.032737,,,,,,
1780416231.288,416852.0,9433.182,10.032911,,,,,,
1780416231.357,416877.0,9433.209,10.032897,,,,,,
1780416231.358,416902.0,9433.582,10.032701,,,,,,
1780416231.359,416927.0,9433.82,10.03281,,,,,,
1780416231.414,416952.0,9433.828,10.032807,,,,,,
1780416231.414,416977.0,9433.699,10.03264,,,,,,
1780416231.476,417002.0,9433.848,10.032562,,,,,,
1780416231.477,417027.0,9433.951,10.032743,,,,,,
1780416231.542,417052.0,9434.025,10.03247,,,,,,
1780416231.542,417077.0,9433.809,10.032817,,,,,,
1780416231.543,417102.0,9433.76,10.032843,,,,,,
1780416231.600,417127.0,9433.793,10.032591,,,,,,
1780416231.601,417152.0,9434.078,10.032676,,,,,,
1780416231.661,417177.0,9434.146,10.03264,,,,,,
1780416231.661,417202.0,9434.221,10.032835,,,,,,
1780416231.662,417227.0,9434.119,10.032888,,,,,,
1780416231.723,417252.0,9434.275,10.032573,,,,,,
1780416231.723,417277.0,9434.139,10.032644,,,,,,
1780416231.782,417302.0,9433.754,10.033079,,,,,,
1780416231.793,417327.0,9433.814,10.033282,,,,,,
1780416231.794,417352.0,9433.883,10.033247,,,,,,
1780416231.847,417377.0,9433.447,10.033474,,,,,,
1780416231.847,417402.0,9433.881,10.033248,,,,,,
1780416231.910,417427.0,9434.092,10.033137,,,,,,
1780416231.911,417452.0,9434.232,10.033063,,,,,,
1780416231.912,417477.0,9434.438,10.03319,,,,,,
1780416231.970,417502.0,9434.484,10.033399,,,,,,
1780416231.971,417527.0,9434.355,10.033466,,,,,,
1780416232.039,417552.0,9434.322,10.033484,,,,,,
1780416232.039,417577.0,9434.383,10.033453,,,,,,
1780416232.040,417602.0,9434.83,10.033218,,,,,,
1780416232.099,417627.0,9434.742,10.033499,,,,,,
1780416232.099,417652.0,9434.756,10.033257,,,,,,
1780416232.163,417677.0,9435.035,10.033346,,,,,,
1780416232.164,417702.0,9435.307,10.033203,,,,,,
1780416232.164,417727.0,9435.184,10.033267,,,,,,
1780416232.224,417752.0,9435.145,10.033522,,,,,,
1780416232.224,417777.0,9434.941,10.033628,,,,,,
1780416232.299,417802.0,9434.785,10.03371,,,,,,
1780416232.300,417827.0,9434.852,10.033675,,,,,,
1780416232.301,417852.0,9434.785,10.033477,,,,,,
1780416232.364,417877.0,9434.689,10.03376,,,,,,
1780416232.365,417902.0,9434.73,10.033972,,,,,,
1780416232.365,417927.0,9434.98,10.033607,,,,,,
1780416232.424,417952.0,9434.914,10.033408,,,,,,
1780416232.424,417977.0,9435.021,10.033352,,,,,,
1780416232.491,418002.0,9435.328,10.033426,,,,,,
1780416232.492,418027.0,9435.518,10.033092,,,,,,
1780416232.493,418052.0,9435.184,10.033267,,,,,,
1780416232.548,418077.0,9434.764,10.033253,,,,,,
1780416232.549,418102.0,9434.75,10.03326,,,,,,
1780416232.614,418127.0,9434.697,10.033054,,,,,,
1780416232.615,418152.0,9434.445,10.032952,,,,,,
1780416232.615,418177.0,9434.451,10.032715,,,,,,
1780416232.673,418202.0,9434.512,10.032682,,,,,,
1780416232.674,418227.0,9434.432,10.03296,,,,,,
1780416232.738,418252.0,9434.072,10.033148,,,,,,
1780416232.739,418277.0,9434.48,10.033168,,,,,,
1780416232.739,418302.0,9434.283,10.033271,,,,,,
1780416232.803,418327.0,9434.242,10.033059,,,,,,
1780416232.803,418352.0,9434.344,10.032771,,,,,,
1780416232.885,418377.0,9434.453,10.032715,,,,,,
1780416232.885,418402.0,9434.711,10.032579,,,,,,
1780416232.886,418427.0,9434.832,10.03275,,,,,,
1780416232.886,418452.0,9435.172,10.032573,,,,,,
1780416232.950,418477.0,9435.213,10.032784,,,,,,
1780416232.951,418502.0,9435.051,10.03287,,,,,,
1780416233.009,418527.0,9435.07,10.032625,,,,,,
1780416233.010,418552.0,9434.867,10.032966,,,,,,
1780416233.011,418577.0,9435.029,10.032881,,,,,,
1780416233.082,418602.0,9434.893,10.032719,,,,,,
1780416233.083,418627.0,9434.791,10.032537,,,,,,
1780416233.084,418652.0,9434.813,10.032526,,,,,,
1780416233.148,418677.0,9434.906,10.032476,,,,,,
1780416233.148,418702.0,9435.457,10.032189,,,,,,
1780416233.211,418727.0,9435.348,10.032012,,,,,,
1780416233.212,418752.0,9435.43,10.032203,,,,,,
1780416233.213,418777.0,9435.553,10.032374,,,,,,
1780416233.284,418802.0,9435.443,10.032431,,,,,,
1780416233.286,418827.0,9435.254,10.03253,,,,,,
1780416233.287,418852.0,9435.334,10.032253,,,,,,
1780416233.348,418877.0,9435.66,10.03185,,,,,,
1780416233.348,418902.0,9435.49,10.031704,,,,,,
1780416233.411,418927.0,9435.307,10.0318,,,,,,
1780416233.412,418952.0,9435.328,10.03179,,,,,,
1780416233.413,418977.0,9435.443,10.031729,,,,,,
1780416233.478,419002.0,9435.361,10.031772,,,,,,
1780416233.479,419027.0,9435.336,10.031785,,,,,,
1780416233.536,419052.0,9435.248,10.031831,,,,,,
1780416233.536,419077.0,9434.977,10.031739,,,,,,
1780416233.536,419102.0,9435.016,10.031718,,,,,,
1780416233.602,419127.0,9435.125,10.031428,,,,,,
1780416233.603,419152.0,9435.037,10.031709,,,,,,
1780416233.664,419177.0,9435.336,10.031318,,,,,,
1780416233.665,419202.0,9435.293,10.031573,,,,,,
1780416233.665,419227.0,9435.123,10.031896,,,,,,
1780416233.729,419252.0,9435.213,10.03185,,,,,,
1780416233.729,419277.0,9435.156,10.031878,,,,,,
1780416233.799,419302.0,9435.252,10.031829,,,,,,
1780416233.800,419327.0,9434.9,10.032013,,,,,,
1780416233.801,419352.0,9434.777,10.03231,,,,,,
