timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1780416889.048,1074582.0,6617.442,9.236817,,,,,status,l_h=42.000000 c_f=220.000000 q=24.000000
1780416889.049,1074607.0,6617.368,9.236578,,,,,,
1780416889.111,1074632.0,6617.355,9.23634,,,,,,
1780416889.112,1074657.0,6617.42,9.23634,,,,,,
1780416889.113,1074682.0,6617.612,9.23634,,,,,,
1780416889.175,1074707.0,6617.595,9.23634,,,,,,
1780416889.176,1074732.0,6617.694,9.23634,,,,,,
1780416889.177,1074757.0,6617.564,9.23634,,,,,,
1780416889.239,1074782.0,6617.682,9.2361,,,,,,
1780416889.240,1074807.0,6617.735,9.2361,,,,,,
1780416889.253,1074832.0,6617.719,9.2361,,,,,,
1780416889.317,1074857.0,6617.815,9.2361,,,,,,
1780416889.319,1074882.0,6617.952,9.23634,,,,,,
1780416889.366,1074907.0,6618.092,9.23634,,,,,,
1780416889.367,1074932.0,6617.999,9.23634,,,,,,
1780416889.430,1074957.0,6618.076,9.23634,,,,,,
1780416889.432,1074982.0,6618.063,9.236338,,,,,,
1780416889.433,1075007.0,6617.916,9.2361,,,,,,
1780416889.494,1075032.0,6617.863,9.2361,,,,,,
1780416889.496,1075057.0,6617.855,9.2361,,,,,,
1780416889.558,1075082.0,6617.695,9.23634,,,,,,
1780416889.559,1075107.0,6617.848,9.236578,,,,,,
1780416889.559,1075132.0,6617.855,9.236577,,,,,,
1780416889.632,1075157.0,6617.702,9.236577,,,,,,
1780416889.635,1075182.0,6617.706,9.236338,,,,,,
1780416889.636,1075207.0,6617.692,9.236338,,,,,,
1780416889.681,1075232.0,6617.629,9.236577,,,,,,
1780416889.682,1075257.0,6617.642,9.236816,,,,,,
1780416889.748,1075282.0,6617.635,9.236816,,,,,,
1780416889.749,1075307.0,6617.585,9.236816,,,,,,
1780416889.810,1075332.0,6617.594,9.236577,,,,,,
1780416889.811,1075357.0,6617.431,9.236816,,,,,,
1780416889.812,1075382.0,6617.504,9.236577,,,,,,
1780416889.881,1075407.0,6617.498,9.236577,,,,,,
1780416889.882,1075432.0,6617.42,9.236577,,,,,,
1780416889.883,1075457.0,6617.455,9.236578,,,,,,
1780416889.932,1075482.0,6617.498,9.23634,,,,,,
1780416889.933,1075507.0,6617.438,9.23634,,,,,,
1780416890.000,1075532.0,6617.381,9.23634,,,,,,
1780416890.001,1075557.0,6617.495,9.236578,,,,,,
1780416890.002,1075582.0,6617.428,9.236578,,,,,,
1780416890.066,1075607.0,6617.375,9.236578,,,,,,
1780416890.066,1075632.0,6617.354,9.236817,,,,,,
1780416890.115,1075657.0,6617.384,9.237057,,,,,,
1780416890.116,1075682.0,6617.211,9.237056,,,,,,
1780416890.182,1075707.0,6617.317,9.237056,,,,,,
1780416890.183,1075732.0,6617.284,9.236816,,,,,,
1780416890.197,1075757.0,6617.391,9.236816,,,,,,
1780416890.266,1075782.0,6617.475,9.236577,,,,,,
1780416890.267,1075807.0,6617.531,9.236816,,,,,,
1780416890.267,1075832.0,6617.666,9.236816,,,,,,
1780416890.314,1075857.0,6617.636,9.236816,,,,,,
1780416890.314,1075882.0,6617.575,9.236816,,,,,,
1780416890.366,1075907.0,6617.558,9.236816,,,,,,
1780416890.367,1075932.0,6617.622,9.236577,,,,,,
1780416890.429,1075957.0,6617.605,9.236577,,,,,,
1780416890.431,1075982.0,6617.666,9.236577,,,,,,
1780416890.432,1076007.0,6617.596,9.236578,,,,,,
1780416890.494,1076032.0,6617.499,9.236817,,,,,,
1780416890.495,1076057.0,6617.478,9.236578,,,,,,
1780416890.566,1076082.0,6617.589,9.236817,,,,,,
1780416890.566,1076107.0,6617.559,9.237057,,,,,,
1780416890.567,1076132.0,6617.484,9.236817,,,,,,
1780416890.619,1076157.0,6617.455,9.236578,,,,,,
1780416890.620,1076182.0,6617.391,9.236578,,,,,,
1780416890.682,1076207.0,6617.294,9.236578,,,,,,
1780416890.683,1076232.0,6617.348,9.236578,,,,,,
1780416890.684,1076257.0,6617.372,9.236578,,,,,,
1780416890.747,1076282.0,6617.322,9.236578,,,,,,
1780416890.749,1076307.0,6617.442,9.236577,,,,,,
1780416890.802,1076332.0,6617.431,9.23634,,,,,,
1780416890.804,1076357.0,6617.408,9.236577,,,,,,
1780416890.805,1076382.0,6617.297,9.236577,,,,,,
1780416890.832,1076407.0,6617.363,9.236577,,,,,,
1780416890.856,1076432.0,6617.304,9.23634,,,,,,
