timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1783616614.235,656604.0,9455.295,44.781296,,,,,smoothing 10,OK smoothing 10
1783616614.236,656614.0,9455.004,44.782124,,,,,,
1783616614.237,656624.0,9454.493,44.783581,,,,,,
1783616614.238,656634.0,9454.561,44.78339,,,,,,
1783616614.238,656644.0,9454.476,44.78363,,,,,,
1783616614.239,656654.0,9454.373,44.783924,,,,,,
1783616614.240,656664.0,9454.697,44.782997,,,,,,
1783616614.241,656674.0,9454.715,44.782948,,,,,,
1783616614.242,656684.0,9454.731,44.782902,,,,,,
1783616614.243,656694.0,9454.681,44.783047,,,,,,
1783616614.245,656704.0,9454.68,44.783051,,,,,,
1783616614.246,656714.0,9454.987,44.782173,,,,,,
1783616614.247,656724.0,9455.09,44.781879,,,,,,
1783616614.248,656734.0,9455.141,44.781734,,,,,,
1783616614.336,656744.0,9455.175,44.781639,,,,,,
1783616614.337,656754.0,9455.123,44.781784,,,,,,
1783616614.338,656764.0,9455.039,44.782024,,,,,,
1783616614.339,656774.0,9454.886,44.782463,,,,,,
1783616614.340,656784.0,9455.073,44.781925,,,,,,
1783616614.340,656794.0,9454.885,44.782463,,,,,,
1783616614.341,656804.0,9454.852,44.782558,,,,,,
1783616614.342,656814.0,9454.682,44.781731,,,,,,
1783616614.342,656824.0,9454.716,44.781635,,,,,,
1783616614.343,656834.0,9454.63,44.781879,,,,,,
1783616614.482,656844.0,9454.611,44.781933,,,,,,
1783616614.483,656854.0,9454.611,44.781933,,,,,,
1783616614.484,656864.0,9454.544,44.782124,,,,,,
1783616614.484,656874.0,9454.373,44.782612,,,,,,
1783616614.485,656884.0,9454.186,44.783146,,,,,,
1783616614.486,656894.0,9454.236,44.783001,,,,,,
1783616614.487,656904.0,9454.016,44.78363,,,,,,
1783616614.487,656914.0,9454.136,44.784599,,,,,,
1783616614.488,656924.0,9454.34,44.784019,,,,,,
1783616614.489,656934.0,9454.271,44.784214,,,,,,
1783616614.490,656944.0,9454.374,44.78392,,,,,,
1783616614.491,656954.0,9454.561,44.78339,,,,,,
1783616614.491,656964.0,9454.663,44.783096,,,,,,
1783616614.492,656974.0,9454.885,44.782463,,,,,,
1783616614.493,656984.0,9454.765,44.782806,,,,,,
1783616614.576,656994.0,9454.697,44.782997,,,,,,
1783616614.577,657004.0,9454.748,44.782852,,,,,,
1783616614.578,657014.0,9454.834,44.782608,,,,,,
1783616614.579,657024.0,9454.697,44.782997,,,,,,
1783616614.581,657034.0,9454.853,44.782555,,,,,,
1783616614.582,657044.0,9454.903,44.78241,,,,,,
1783616614.582,657054.0,9454.768,44.782799,,,,,,
1783616614.583,657064.0,9454.682,44.783043,,,,,,
1783616614.584,657074.0,9454.596,44.783287,,,,,,
1783616614.715,657084.0,9454.562,44.783386,,,,,,
1783616614.716,657094.0,9454.596,44.783287,,,,,,
1783616614.717,657104.0,9454.596,44.783287,,,,,,
1783616614.717,657114.0,9454.357,44.783966,,,,,,
1783616614.718,657124.0,9454.441,44.78373,,,,,,
1783616614.719,657134.0,9454.1,44.784702,,,,,,
1783616614.720,657144.0,9453.674,44.785915,,,,,,
1783616614.720,657154.0,9453.623,44.78606,,,,,,
1783616614.721,657164.0,9453.692,44.785862,,,,,,
1783616614.722,657174.0,9453.658,44.785961,,,,,,
1783616614.722,657184.0,9453.914,44.785233,,,,,,
1783616614.723,657194.0,9454.101,44.784698,,,,,,
1783616614.724,657204.0,9454.135,44.784603,,,,,,
1783616614.725,657214.0,9453.861,44.785381,,,,,,
1783616614.809,657224.0,9453.861,44.785381,,,,,,
1783616614.810,657234.0,9454.067,44.784794,,,,,,
1783616614.810,657244.0,9454.322,44.784069,,,,,,
1783616614.811,657254.0,9454.374,44.78392,,,,,,
1783616614.813,657264.0,9454.271,44.782902,,,,,,
1783616614.814,657274.0,9454.237,44.782997,,,,,,
1783616614.815,657284.0,9454.135,44.783291,,,,,,
1783616614.816,657294.0,9453.964,44.783779,,,,,,
1783616614.816,657304.0,9454.065,44.783489,,,,,,
1783616614.951,657314.0,9454.493,44.782269,,,,,,
1783616614.952,657324.0,9454.715,44.781635,,,,,,
1783616614.953,657334.0,9454.817,44.781345,,,,,,
1783616614.953,657344.0,9454.766,44.78149,,,,,,
1783616614.954,657354.0,9454.697,44.781685,,,,,,
1783616614.955,657364.0,9454.68,44.783051,,,,,,
1783616614.956,657374.0,9454.731,44.782902,,,,,,
1783616614.956,657384.0,9454.629,44.783195,,,,,,
1783616614.957,657394.0,9454.493,44.783581,,,,,,
1783616614.958,657404.0,9454.459,44.78368,,,,,,
1783616614.959,657414.0,9454.288,44.784164,,,,,,
1783616614.960,657424.0,9453.811,44.785526,,,,,,
1783616614.960,657434.0,9453.556,44.786255,,,,,,
1783616614.961,657444.0,9453.506,44.786396,,,,,,
1783616614.962,657454.0,9453.42,44.785328,,,,,,
1783616615.047,657464.0,9453.352,44.785522,,,,,,
1783616615.048,657474.0,9453.59,44.784843,,,,,,
1783616615.049,657484.0,9453.727,44.784454,,,,,,
1783616615.050,657494.0,9453.727,44.784454,,,,,,
1783616615.050,657504.0,9453.743,44.784405,,,,,,
1783616615.051,657514.0,9453.794,44.78426,,,,,,
1783616615.052,657524.0,9454.118,44.783337,,,,,,
1783616615.053,657534.0,9454.203,44.783096,,,,,,
1783616615.054,657544.0,9454.307,44.782799,,,,,,
1783616615.199,657554.0,9454.544,44.783436,,,,,,
1783616615.200,657564.0,9454.631,44.783188,,,,,,
1783616615.201,657574.0,9454.511,44.783531,,,,,,
1783616615.202,657584.0,9454.424,44.785091,,,,,,
1783616615.202,657594.0,9454.578,44.784649,,,,,,
1783616615.203,657604.0,9454.39,44.785187,,,,,,
1783616615.204,657614.0,9454.271,44.785526,,,,,,
1783616615.205,657624.0,9454.151,44.785866,,,,,,
1783616615.205,657634.0,9454.322,44.785381,,,,,,
1783616615.206,657644.0,9454.271,44.785526,,,,,,
1783616615.207,657654.0,9454.083,44.78606,,,,,,
1783616615.207,657664.0,9454.287,44.78548,,,,,,
1783616615.208,657674.0,9454.117,44.785965,,,,,,
1783616615.209,657684.0,9453.795,44.785572,,,,,,
1783616615.210,657694.0,9453.744,44.785717,,,,,,
1783616615.296,657704.0,9454.015,44.784946,,,,,,
1783616615.297,657714.0,9454.118,44.784649,,,,,,
1783616615.298,657724.0,9454.151,44.784554,,,,,,
1783616615.298,657734.0,9454.032,44.784893,,,,,,
1783616615.299,657744.0,9454.066,44.784798,,,,,,
1783616615.300,657754.0,9454.015,44.784946,,,,,,
1783616615.301,657764.0,9453.998,44.784992,,,,,,
1783616615.301,657774.0,9454.084,44.784748,,,,,,
1783616615.302,657784.0,9454.237,44.784309,,,,,,
1783616615.303,657794.0,9454.287,44.784168,,,,,,
1783616615.432,657804.0,9454.083,44.784748,,,,,,
1783616615.433,657814.0,9453.861,44.785381,,,,,,
1783616615.434,657824.0,9453.827,44.78548,,,,,,
1783616615.434,657834.0,9453.674,44.785915,,,,,,
1783616615.435,657844.0,9453.572,44.786205,,,,,,
1783616615.436,657854.0,9453.623,44.78606,,,,,,
1783616615.437,657864.0,9453.571,44.786209,,,,,,
1783616615.437,657874.0,9453.657,44.785965,,,,,,
1783616615.438,657884.0,9453.947,44.785137,,,,,,
1783616615.439,657894.0,9453.624,44.786057,,,,,,
1783616615.439,657904.0,9453.334,44.786884,,,,,,
1783616615.440,657914.0,9453.572,44.786205,,,,,,
1783616615.441,657924.0,9453.282,44.787033,,,,,,
1783616615.442,657934.0,9453.47,44.786499,,,,,,
1783616615.528,657944.0,9453.521,44.78635,,,,,,
1783616615.529,657954.0,9453.674,44.785915,,,,,,
1783616615.530,657964.0,9453.367,44.786789,,,,,,
1783616615.531,657974.0,9453.248,44.787128,,,,,,
1783616615.532,657984.0,9452.94,44.788006,,,,,,
1783616615.533,657994.0,9453.096,44.787563,,,,,,
1783616615.533,658004.0,9453.299,44.786983,,,,,,
1783616615.534,658014.0,9453.111,44.787521,,,,,,
1783616615.535,658024.0,9453.486,44.786449,,,,,,
1783616615.665,658034.0,9453.385,44.785427,,,,,,
1783616615.666,658044.0,9453.299,44.785671,,,,,,
1783616615.667,658054.0,9453.146,44.786106,,,,,,
1783616615.668,658064.0,9453.266,44.785767,,,,,,
1783616615.668,658074.0,9453.197,44.785961,,,,,,
1783616615.669,658084.0,9453.18,44.786015,,,,,,
1783616615.670,658094.0,9453.317,44.785622,,,,,,
1783616615.671,658104.0,9453.419,44.785332,,,,,,
1783616615.671,658114.0,9453.333,44.785576,,,,,,
1783616615.672,658124.0,9453.162,44.786064,,,,,,
1783616615.673,658134.0,9453.026,44.787762,,,,,,
1783616615.674,658144.0,9453.179,44.787327,,,,,,
1783616615.674,658154.0,9453.042,44.787716,,,,,,
1783616615.675,658164.0,9453.231,44.787178,,,,,,
1783616615.765,658174.0,9453.401,44.786694,,,,,,
1783616615.766,658184.0,9453.351,44.786839,,,,,,
1783616615.767,658194.0,9453.317,44.786934,,,,,,
1783616615.768,658204.0,9453.486,44.786449,,,,,,
1783616615.768,658214.0,9453.521,44.78635,,,,,,
1783616615.769,658224.0,9453.76,44.785671,,,,,,
1783616615.770,658234.0,9453.862,44.785378,,,,,,
1783616615.771,658244.0,9453.896,44.785282,,,,,,
1783616615.771,658254.0,9454.236,44.784313,,,,,,
1783616615.772,658264.0,9454.237,44.784309,,,,,,
1783616615.898,658274.0,9454.527,44.783482,,,,,,
1783616615.899,658284.0,9454.527,44.782169,,,,,,
1783616615.900,658294.0,9454.611,44.781933,,,,,,
1783616615.900,658304.0,9454.459,44.782368,,,,,,
1783616615.901,658314.0,9454.629,44.781883,,,,,,
1783616615.902,658324.0,9454.578,44.782024,,,,,,
1783616615.903,658334.0,9454.612,44.781929,,,,,,
1783616615.904,658344.0,9454.476,44.782318,,,,,,
1783616615.905,658354.0,9454.391,44.782562,,,,,,
1783616615.905,658364.0,9454.203,44.783096,,,,,,
1783616615.906,658374.0,9454.049,44.783535,,,,,,
1783616615.907,658384.0,9454.135,44.784603,,,,,,
1783616615.908,658394.0,9454.221,44.784359,,,,,,
1783616615.996,658404.0,9454.271,44.784214,,,,,,
1783616615.997,658414.0,9454.287,44.784168,,,,,,
1783616615.998,658424.0,9454.015,44.784946,,,,,,
1783616615.999,658434.0,9453.964,44.785091,,,,,,
1783616616.000,658444.0,9453.794,44.78426,,,,,,
1783616616.001,658454.0,9453.725,44.784458,,,,,,
1783616616.001,658464.0,9453.845,44.784119,,,,,,
1783616616.002,658474.0,9453.794,44.78426,,,,,,
1783616616.003,658484.0,9453.846,44.784115,,,,,,
1783616616.004,658494.0,9453.607,44.784794,,,,,,
1783616616.132,658504.0,9453.437,44.785282,,,,,,
1783616616.133,658514.0,9453.403,44.785374,,,,,,
1783616616.133,658524.0,9453.505,44.785084,,,,,,
1783616616.134,658534.0,9453.471,44.785183,,,,,,
1783616616.135,658544.0,9453.795,44.785572,,,,,,
1783616616.136,658554.0,9453.828,44.785477,,,,,,
1783616616.136,658564.0,9453.642,44.784695,,,,,,
1783616616.137,658574.0,9453.232,44.785862,,,,,,
1783616616.139,658584.0,9453.214,44.785915,,,,,,
1783616616.139,658594.0,9453.197,44.785961,,,,,,
1783616616.140,658604.0,9453.043,44.786404,,,,,,
1783616616.141,658614.0,9453.026,44.786449,,,,,,
1783616616.142,658624.0,9453.18,44.786015,,,,,,
1783616616.142,658634.0,9453.146,44.786106,,,,,,
1783616616.228,658644.0,9453.214,44.785915,,,,,,
1783616616.229,658654.0,9453.095,44.786255,,,,,,
1783616616.230,658664.0,9453.231,44.787178,,,,,,
1783616616.231,658674.0,9453.658,44.785961,,,,,,
1783616616.232,658684.0,9453.931,44.785183,,,,,,
1783616616.232,658694.0,9454.135,44.784603,,,,,,
1783616616.233,658704.0,9454.288,44.784164,,,,,,
1783616616.234,658714.0,9454.306,44.784115,,,,,,
1783616616.235,658724.0,9454.152,44.784554,,,,,,
1783616616.365,658734.0,9454.221,44.784359,,,,,,
1783616616.366,658744.0,9453.896,44.785282,,,,,,
1783616616.367,658754.0,9453.761,44.785667,,,,,,
1783616616.367,658764.0,9453.794,44.785572,,,,,,
1783616616.368,658774.0,9453.742,44.785721,,,,,,
1783616616.369,658784.0,9453.555,44.786255,,,,,,
1783616616.370,658794.0,9453.316,44.786934,,,,,,
1783616616.370,658804.0,9453.453,44.786545,,,,,,
1783616616.371,658814.0,9453.47,44.786499,,,,,,
1783616616.372,658824.0,9453.419,44.786644,,,,,,
1783616616.373,658834.0,9452.414,44.786884,,,,,,
1783616616.374,658844.0,9450.119,44.786865,,,,,,
1783616616.375,658854.0,9447.808,44.786896,,,,,,
1783616616.375,658864.0,9446.53,44.787914,,,,,,
1783616616.462,658874.0,9446.173,44.788933,,,,,,
1783616616.463,658884.0,9446.395,44.789612,,,,,,
1783616616.464,658894.0,9447.06,44.789028,,,,,,
1783616616.465,658904.0,9447.981,44.787712,,,,,,
1783616616.466,658914.0,9448.493,44.787571,,,,,,
1783616616.467,658924.0,9449.603,44.787037,,,,,,
1783616616.468,658934.0,9451.955,44.786892,,,,,,
1783616616.469,658944.0,9455.548,44.785831,,,,,,
1783616616.470,658954.0,9459.497,44.785069,,,,,,
1783616616.615,658964.0,9461.987,44.783222,,,,,,
1783616616.616,658974.0,9462.925,44.78186,,,,,,
1783616616.617,658984.0,9463.436,44.780399,,,,,,
1783616616.618,658994.0,9463.197,44.77977,,,,,,
1783616616.618,659004.0,9461.85,44.780994,,,,,,
1783616616.619,659014.0,9460.725,44.781578,,,,,,
1783616616.620,659024.0,9459.122,44.780899,,,,,,
1783616616.621,659034.0,9457.245,44.779678,,,,,,
1783616616.622,659044.0,9454.79,44.780113,,,,,,
1783616616.623,659054.0,9451.944,44.780354,,,,,,
1783616616.624,659064.0,9449.727,44.780113,,,,,,
1783616616.625,659074.0,9447.836,44.780254,,,,,,
1783616616.626,659084.0,9445.791,44.780834,,,,,,
1783616616.627,659094.0,9444.241,44.781315,,,,,,
1783616616.628,659104.0,9443.255,44.78019,,,,,,
1783616616.629,659114.0,9442.507,44.779701,,,,,,
1783616616.715,659124.0,9441.639,44.780869,,,,,,
1783616616.716,659134.0,9440.736,44.782131,,,,,,
1783616616.717,659144.0,9440.533,44.784023,,,,,,
1783616616.718,659154.0,9440.039,44.786743,,,,,,
1783616616.719,659164.0,9439.36,44.788681,,,,,,
1783616616.719,659174.0,9438.613,44.792122,,,,,,
1783616616.720,659184.0,9437.611,44.796291,,,,,,
1783616616.721,659194.0,9436.253,44.802788,,,,,,
1783616616.722,659204.0,9434.337,44.81218,,,,,,
1783616616.722,659214.0,9431.674,44.822395,,,,,,
1783616616.848,659224.0,9428.896,44.834248,,,,,,
1783616616.849,659234.0,9425.425,44.846767,,,,,,
1783616616.850,659244.0,9421.297,44.85984,,,,,,
1783616616.851,659254.0,9416.669,44.876976,,,,,,
1783616616.852,659264.0,9410.825,44.900192,,,,,,
1783616616.852,659274.0,9405.123,44.9217,,,,,,
1783616616.853,659284.0,9398.419,44.948685,,,,,,
1783616616.854,659294.0,9391.368,44.975346,,,,,,
1783616616.855,659304.0,9384.38,45.003147,,,,,,
1783616616.855,659314.0,9377.529,45.031868,,,,,,
1783616616.856,659324.0,9370.256,45.061794,,,,,,
1783616616.857,659334.0,9363.506,45.092857,,,,,,
1783616616.857,659344.0,9356.667,45.125484,,,,,,
1783616616.951,659354.0,9350.439,45.152439,,,,,,
1783616616.952,659364.0,9344.718,45.177944,,,,,,
1783616616.953,659374.0,9338.654,45.204418,,,,,,
1783616616.953,659384.0,9334.128,45.223892,,,,,,
1783616616.954,659394.0,9330.087,45.241978,,,,,,
1783616616.955,659404.0,9326.366,45.256527,,,,,,
1783616616.956,659414.0,9323.708,45.266735,,,,,,
1783616616.956,659424.0,9321.551,45.272884,,,,,,
1783616616.957,659434.0,9320.074,45.275776,,,,,,
1783616616.958,659444.0,9319.644,45.27306,,,,,,
1783616617.099,659454.0,9320.323,45.268494,,,,,,
1783616617.100,659464.0,9322.199,45.259205,,,,,,
1783616617.101,659474.0,9325.288,45.245148,,,,,,
1783616617.102,659484.0,9328.996,45.226696,,,,,,
1783616617.103,659494.0,9333.89,45.204865,,,,,,
1783616617.104,659504.0,9339.564,45.180805,,,,,,
1783616617.105,659514.0,9345.972,45.153347,,,,,,
1783616617.106,659524.0,9353.581,45.123775,,,,,,
1783616617.106,659534.0,9361.437,45.092194,,,,,,
1783616617.107,659544.0,9369.586,45.061077,,,,,,
1783616617.108,659554.0,9377.475,45.029404,,,,,,
1783616617.109,659564.0,9385.096,44.997166,,,,,,
1783616617.110,659574.0,9392.653,44.966438,,,,,,
1783616617.111,659584.0,9399.463,44.939148,,,,,,
1783616617.112,659594.0,9405.255,44.913452,,,,,,
1783616617.114,659604.0,9411.033,44.889103,,,,,,
1783616617.194,659614.0,9415.541,44.869694,,,,,,
1783616617.196,659624.0,9419.308,44.851082,,,,,,
1783616617.197,659634.0,9422.503,44.836727,,,,,,
1783616617.198,659644.0,9424.891,44.823364,,,,,,
1783616617.198,659654.0,9426.939,44.812279,,,,,,
1783616617.199,659664.0,9428.583,44.804974,,,,,,
1783616617.200,659674.0,9429.685,44.797894,,,,,,
1783616617.201,659684.0,9430.854,44.793247,,,,,,
1783616617.201,659694.0,9431.719,44.789471,,,,,,
1783616617.332,659704.0,9432.263,44.78661,,,,,,
1783616617.334,659714.0,9432.975,44.78458,,,,,,
1783616617.335,659724.0,9433.534,44.784298,,,,,,
1783616617.335,659734.0,9434.299,44.782116,,,,,,
1783616617.336,659744.0,9434.705,44.782272,,,,,,
1783616617.337,659754.0,9434.96,44.781544,,,,,,
1783616617.338,659764.0,9435.096,44.779846,,,,,,
1783616617.339,659774.0,9435.267,44.779358,,,,,,
1783616617.339,659784.0,9434.774,44.778137,,,,,,
1783616617.340,659794.0,9434.385,44.777935,,,,,,
1783616617.341,659804.0,9433.773,44.777061,,,,,,
1783616617.341,659814.0,9433.383,44.775551,,,,,,
1783616617.342,659824.0,9432.467,44.775536,,,,,,
1783616617.343,659834.0,9431.396,44.775955,,,,,,
1783616617.428,659844.0,9431.075,44.775562,,,,,,
1783616617.430,659854.0,9430.43,44.777405,,,,,,
1783616617.431,659864.0,9430.294,44.77779,,,,,,
1783616617.433,659874.0,9430.191,44.778084,,,,,,
1783616617.434,659884.0,9430.446,44.778667,,,,,,
1783616617.435,659894.0,9431.125,44.778046,,,,,,
