timestamp,sensor1,sensor2,sensor1_smooth,sensor2_smooth,sensor1_smooth_rot,sensor2_smooth_rot,rotation_angle_deg
187345,5166.66,37.666008,5159.204,37.6696233,5145.755256,37.75008249,53.3
187395,5151.45,37.670025,5158.103,37.6696233,5145.106984,37.75763822,53.3
187445,5157.21,37.666008,5157.946,37.6692216,5144.985532,37.75841835,53.3
187495,5156.16,37.666008,5157.998,37.6688199,5144.989013,37.75775196,53.3
187545,5154.06,37.670025,5157.211,37.6688199,5144.52814,37.76312953,53.3
187595,5160.88,37.670025,5157.84,37.6688199,5144.913678,37.75870838,53.3
187645,5161.93,37.666008,5157.735,37.6684182,5144.823238,37.75912762,53.3
187695,5163.51,37.666008,5158.208,37.6680165,5145.07838,37.75554815,53.3
187745,5166.13,37.666008,5159.205,37.6676148,5145.646988,37.74834647,53.3
187795,5161.93,37.670025,5159.992,37.6676148,5146.12762,37.74284268,53.3
187845,5158.78,37.670025,5159.204,37.6680165,5145.704017,37.74847783,53.3
187895,5160.35,37.670025,5160.094,37.6680165,5146.246177,37.74226185,53.3
187945,5159.83,37.670025,5160.356,37.6684182,5146.450366,37.74063473,53.3
187995,5160.88,37.670025,5160.828,37.6688199,5146.780155,37.73755652,53.3
188045,5154.59,37.666008,5160.881,37.6684182,5146.784959,37.73689888,53.3
188095,5161.93,37.670025,5160.986,37.6684182,5146.858159,37.73612196,53.3
188145,5153.02,37.670025,5160.095,37.6688199,5146.373121,37.74247541,53.3
188195,5161.4,37.670025,5159.884,37.6692216,5146.294362,37.74412078,53.3
188245,5160.35,37.666008,5159.306,37.6692216,5145.958785,37.74806372,53.3
188295,5156.16,37.666008,5158.729,37.6688199,5145.586344,37.75175669,53.3
188345,5159.83,37.666008,5158.834,37.6684182,5145.621528,37.75072912,53.3
188395,5163.51,37.666008,5159.15,37.6680165,5145.782916,37.74824251,53.3
188445,5168.77,37.666008,5160.044,37.6676148,5146.29001,37.7417593,53.3
188495,5161.4,37.666008,5160.096,37.6672131,5146.293931,37.74110493,53.3
188545,5151.97,37.666008,5159.834,37.6672131,5146.14741,37.74286301,53.3
188595,5161.93,37.670025,5159.834,37.6672131,5146.157451,37.74280751,53.3
188645,5155.11,37.661991,5160.043,37.6664097,5146.217891,37.740826,53.3
188695,5161.4,37.565586,5160.043,37.6559658,5145.258858,37.73452687,53.3
188745,5127.5,37.441254,5156.758,37.6334904,5141.219867,37.74375418,53.3
188795,5131.65,37.441254,5154.307,37.611015,5137.680084,37.74718933,53.3
188845,5122.32,37.437252,5150.556,37.5881394,5133.326656,37.75935882,53.3
188895,5126.46,37.441254,5146.851,37.565664,5129.0383,37.77142389,53.3
188945,5136.84,37.441254,5143.658,37.5431886,5125.056495,37.7799222,53.3
188995,5131.65,37.441254,5140.683,37.5207132,5121.205602,37.78689006,53.3
189045,5122.32,37.433243,5137.718,37.4974367,5117.286976,37.79328845,53.3
189095,5134.77,37.441254,5135.002,37.4745596,5113.554979,37.79818177,53.3
189145,5129.57,37.441254,5132.448,37.4524859,5109.995126,37.80241481,53.3
189195,5128.54,37.441254,5129.162,37.4400527,5106.89293,37.81745662,53.3
189245,5129.06,37.437252,5129.318,37.4396525,5106.965251,37.81586395,53.3
189295,5128.02,37.437252,5128.955,37.4392523,5106.727302,37.81786245,53.3
189345,5136.84,37.433243,5130.407,37.4388514,5107.574406,37.80730402,53.3
189395,5130.61,37.437252,5130.822,37.4384512,5107.801961,37.80392685,53.3
189445,5126.46,37.433243,5129.784,37.4376501,5107.123665,37.81036322,53.3
189495,5120.26,37.433243,5128.645,37.436849,5106.384706,37.8174932,53.3
189545,5136.84,37.429237,5130.097,37.4364484,5107.231813,37.80693425,53.3
189595,5123.36,37.433243,5128.956,37.4356473,5106.491784,37.81408008,53.3
189645,5124.39,37.441254,5128.438,37.4356473,5106.198295,37.81738984,53.3
189695,5127.5,37.453274,5128.334,37.4368493,5106.263712,37.81855231,53.3
189745,5134.77,37.469311,5128.905,37.4400552,5106.918546,37.81624395,53.3
189795,5138.41,37.481339,5129.944,37.4444639,5107.96475,37.81142161,53.3
189845,5144.66,37.489361,5130.726,37.4500757,5108.968919,37.80910323,53.3
189895,5129.57,37.49337,5130.622,37.4556875,5109.443164,37.81291953,53.3
189945,5142.05,37.49337,5132.181,37.4617002,5110.948516,37.80547342,53.3
189995,5141.53,37.49337,5134.308,37.4677129,5112.793511,37.79410808,53.3
190045,5136.84,37.49337,5134.308,37.4741262,5113.40411,37.79770821,53.3
190095,5138.41,37.489361,5135.813,37.479738,5114.839742,37.79042062,53.3
190145,5137.36,37.485348,5137.11,37.4841474,5116.039466,37.78386232,53.3
190195,5121.81,37.481339,5136.541,37.4869539,5115.974796,37.78926152,53.3
190245,5124.91,37.477329,5135.555,37.4877557,5115.474391,37.79634493,53.3
190295,5138.93,37.481339,5135.607,37.4877557,5115.519857,37.79576433,53.3
190345,5136.32,37.477329,5134.773,37.4865525,5114.923911,37.80059372,53.3
190395,5128.02,37.477329,5134.618,37.4849484,5114.696564,37.80048233,53.3
190445,5129.06,37.47332,5133.319,37.4829434,5113.748045,37.80804386,53.3
190495,5131.13,37.47332,5132.279,37.4809384,5112.954124,37.81380711,53.3
190545,5115.09,37.47332,5130.104,37.4789334,5111.481387,37.82741627,53.3
190595,5123.36,37.47332,5128.599,37.4773293,5110.445945,37.8366195,53.3
190645,5122.84,37.47332,5127.147,37.4761265,5109.479088,37.84568853,53.3
190695,5124.39,37.47332,5127.405,37.4753246,5109.571509,37.84316134,53.3
190745,5121.81,37.469311,5127.095,37.4745228,5109.324434,37.84456472,53.3
190795,5127.5,37.47332,5125.952,37.4737209,5108.579237,37.85172889,53.3
190845,5118.71,37.47332,5124.191,37.47332,5107.501451,37.86340233,53.3
190895,5122.32,37.477329,5123.621,37.47332,5107.172487,37.86706842,53.3
190945,5127.5,37.481339,5123.465,37.4741219,5107.165294,37.86834776,53.3
190995,5123.88,37.485348,5122.74,37.4753247,5106.85498,37.87380268,53.3
191045,5135.8,37.49337,5124.811,37.4773297,5108.290564,37.86039323,53.3
191095,5127.5,37.501392,5125.225,37.4801369,5108.810296,37.85893675,53.3
191145,5122.32,37.509415,5125.173,37.4837464,5109.125772,37.86118673,53.3
191195,5128.54,37.517433,5125.588,37.4881577,5109.794611,37.86068679,53.3
191245,5127.5,37.525455,5126.157,37.4937721,5110.666987,37.85984457,53.3
191295,5128.54,37.525455,5126.261,37.4989856,5111.223911,37.86198401,53.3
191345,5131.65,37.521446,5127.555,37.5037982,5112.454815,37.85565429,53.3
191395,5135.29,37.525455,5128.852,37.5086108,5113.687551,37.84931185,53.3
191445,5126.98,37.517433,5128.8,37.5122202,5114.00209,37.85158972,53.3
191495,5129.57,37.517433,5129.369,37.5154287,5114.65046,37.84933324,53.3
191545,5136.32,37.513424,5129.421,37.5174341,5114.878002,37.84993776,53.3
191595,5133.73,37.513424,5130.044,37.5186373,5115.372376,37.8461139,53.3
191645,5129.06,37.513424,5130.718,37.5190382,5115.822872,37.84146124,53.3
191695,5124.39,37.517433,5130.303,37.5190382,5115.585193,37.84410574,53.3
191745,5121.81,37.513424,5129.734,37.5178351,5115.143657,37.8470945,53.3
191795,5115.09,37.509415,5128.389,37.5162311,5114.200846,37.85520877,53.3
191845,5125.43,37.509415,5127.767,37.515028,5113.727236,37.85855474,53.3
191895,5124.91,37.509415,5126.729,37.513424,5112.967583,37.86453568,53.3
191945,5121.29,37.505398,5126.16,37.5122205,5112.525312,37.86750664,53.3
191995,5126.98,37.505398,5125.901,37.511017,5112.268298,37.86833042,53.3
192045,5127.5,37.505398,5125.019,37.5102144,5111.675983,37.87370228,53.3
192095,5128.02,37.505398,5124.448,37.5094118,5111.269409,37.87691865,53.3
192145,5125.43,37.505398,5124.085,37.5086092,5110.987078,37.87869356,53.3
192195,5129.06,37.501392,5124.552,37.5070051,5111.126567,37.87424607,53.3
192245,5121.81,37.501392,5124.552,37.5058019,5111.024259,37.87327093,53.3
192295,5117.16,37.501392,5124.759,37.5049996,5111.082985,37.87110358,53.3
192345,5129.57,37.501392,5125.173,37.5041973,5111.265575,37.86750542,53.3
192395,5125.43,37.501392,5125.225,37.503395,5111.231877,37.86641354,53.3
192445,5122.32,37.509415,5125.328,37.5037967,5111.340456,37.86568911,53.3
192495,5126.46,37.509415,5125.276,37.5041984,5111.35635,37.86603786,53.3
192545,5123.36,37.509415,5124.862,37.5046001,5111.155748,37.86889098,53.3
192595,5122.84,37.513424,5124.344,37.5054027,5110.930014,37.8727017,53.3
192645,5124.39,37.509415,5124.24,37.5058044,5110.9144,37.87340695,53.3
192695,5131.13,37.501392,5124.447,37.5058044,5111.047388,37.87172061,53.3
192745,5130.09,37.501392,5125.275,37.5058044,5111.551718,37.86573981,53.3
192795,5129.06,37.505398,5126.465,37.506205,5112.309883,37.85749867,53.3
192845,5134.25,37.505398,5126.933,37.5066056,5112.636653,37.85425815,53.3
192895,5132.69,37.505398,5127.659,37.5070062,5113.117773,37.84923558,53.3
192945,5128.54,37.509415,5128.281,37.5070062,5113.499697,37.84469683,53.3
192995,5132.17,37.505398,5128.852,37.5066045,5113.814008,37.84027397,53.3
193045,5136.32,37.505398,5130.148,37.5062028,5114.561968,37.8308388,53.3
193095,5142.05,37.509415,5132.069,37.5058019,5115.684061,37.81708697,53.3
193145,5134.25,37.505398,5133.055,37.5054002,5116.247583,37.80981195,53.3
193195,5130.61,37.505398,5133.003,37.5058008,5116.26522,37.81020197,53.3
193245,5135.8,37.509415,5133.574,37.5066031,5116.692571,37.80652265,53.3
193295,5136.84,37.505398,5134.352,37.5066031,5117.169325,37.8009349,53.3
193345,5136.32,37.501392,5134.559,37.5062025,5117.2677,37.79906156,53.3
193395,5141.53,37.505398,5135.443,37.5062025,5117.808096,37.79274566,53.3
193445,5134.77,37.505398,5136.066,37.5058008,5118.155388,37.78799955,53.3
193495,5132.69,37.505398,5136.118,37.5058008,5118.198738,37.78744668,53.3
193545,5136.84,37.501392,5136.17,37.5054002,5118.204909,37.7866548,53.3
193595,5139.45,37.501392,5135.91,37.5045979,5117.98728,37.78778144,53.3
193645,5134.77,37.501392,5135.962,37.5041973,5117.993437,37.78698877,53.3
193695,5132.17,37.505398,5136.118,37.5041973,5118.098975,37.78571659,53.3
193745,5131.13,37.505398,5135.651,37.5037956,5117.794769,37.78851492,53.3
193795,5139.97,37.505398,5135.964,37.5037956,5117.994083,37.78615561,53.3
193845,5136.84,37.513424,5136.016,37.5049988,5118.149074,37.78632295,53.3
193895,5133.21,37.517433,5135.184,37.5062023,5117.775471,37.79260649,53.3
193945,5145.18,37.521446,5136.225,37.5078071,5118.558655,37.78616989,53.3
193995,5148.83,37.525455,5137.839,37.5098128,5119.721805,37.77601477,53.3
194045,5149.88,37.537495,5139.143,37.5134231,5120.848815,37.7689719,53.3
194095,5148.31,37.537495,5140.029,37.5170334,5121.726015,37.76482795,53.3
194145,5137.36,37.541512,5140.288,37.5210454,5122.265609,37.76526693,53.3
194195,5143.61,37.537495,5141.432,37.5242551,5123.259689,37.75910662,53.3
194245,5126.98,37.533482,5141.017,37.5270635,5123.284499,37.76349748,53.3
194295,5134.77,37.533482,5140.497,37.5298719,5123.246223,37.76861373,53.3
194345,5145.18,37.529469,5141.331,37.5314764,5123.905442,37.76364218,53.3
194395,5136.84,37.525455,5141.694,37.5322786,5124.208707,37.76145372,53.3
194445,5146.22,37.525455,5141.798,37.5326795,5124.319907,37.76081913,53.3
194495,5135.8,37.529469,5140.495,37.5330809,5123.589899,37.76991883,53.3
194545,5144.14,37.529469,5139.921,37.5322783,5123.183631,37.7732499,53.3
194595,5135.29,37.529469,5138.619,37.5314757,5122.341972,37.78161437,53.3
194645,5140.49,37.533482,5138.932,37.5306727,5122.465562,37.77880047,53.3
194695,5145.7,37.529469,5139.141,37.5298701,5122.527128,37.77670771,53.3
194745,5146.22,37.529469,5141.065,37.5294688,5123.651418,37.76299201,53.3
194795,5141.53,37.529469,5141.741,37.5290675,5124.030065,37.75791866,53.3
194845,5143.61,37.533482,5141.584,37.5294688,5123.985339,37.75909088,53.3
194895,5154.59,37.529469,5143.359,37.5298702,5125.095673,37.74689772,53.3
194945,5132.69,37.533482,5142.006,37.5306729,5124.373471,37.75659166,53.3
194995,5148.31,37.529469,5143.257,37.5306729,5125.133264,37.74778608,53.3
195045,5153.02,37.525455,5144.145,37.5302715,5125.639091,37.74125763,53.3
195095,5131.13,37.529469,5143.729,37.5302715,5125.402762,37.74399408,53.3
195145,5137.88,37.529469,5143.468,37.5298702,5125.221736,37.74541662,53.3
195195,5144.66,37.533482,5143.364,37.5302715,5125.209002,37.74623182,53.3
195245,5141.53,37.529469,5142.895,37.5302715,5124.940725,37.74933188,53.3
195295,5138.93,37.537495,5142.635,37.5310741,5124.87175,37.75146403,53.3
195345,5143.61,37.541512,5142.635,37.5318771,5124.958128,37.75179701,53.3
195395,5147.79,37.541512,5141.955,37.5330814,5124.675116,37.75707441,53.3
195445,5136.84,37.545521,5142.37,37.5342853,5125.046487,37.75477402,53.3
195495,5138.93,37.549534,5141.432,37.5362918,5124.683414,37.76231565,53.3
195545,5150.92,37.545521,5141.222,37.5382984,5124.755226,37.76481763,53.3
195595,5142.57,37.545521,5142.366,37.5399036,5125.599138,37.75771274,53.3
195645,5150.4,37.545521,5143.618,37.5415088,5126.507816,37.74986663,53.3
