file,Material,Inductor,Experiment,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
3.2mhz_alum.csv,Aluminum,4-Layer,Linear Actuator,sensor1, sensor2,Crack 1,5478.672,5463.724,530,642,595,595,5462.076,2.981226,2.976696005,0.001023772,0.004529995,4.424807769,12.91788816
3.2mhz_alum.csv,Aluminum,4-Layer,Linear Actuator,sensor1, sensor2,Crack 1,5476.839,5480.781,766,876,833,833,5468.206,2.981564,2.976449893,0.001023772,0.005114107,4.9953568,13.97133027
3.2mhz_alum.csv,Aluminum,4-Layer,Linear Actuator,sensor1, sensor2,Crack 2,5509.325,5488.074,328,460,393,393,5475.149,2.989551,2.976003958,0.001023772,0.013547042,13.23247773,22.43282344
3.2mhz_alum.csv,Aluminum,4-Layer,Linear Actuator,sensor1, sensor2,Crack 2,5491.024,5508.869,969,1096,1032,1032,5480.377,2.989432,2.975626436,0.001023772,0.013805564,13.48499725,22.59701724
3.2mhz_alum.csv,Aluminum,4-Layer,Linear Actuator,sensor1, sensor2,Crack 3,5542.718,5522.04,129,252,195,195,5488.263,3.001545,2.974768799,0.001023772,0.026776201,26.15445438,28.35091329
3.2mhz_alum.csv,Aluminum,4-Layer,Linear Actuator,sensor1, sensor2,Crack 3,5519.794,5541.904,1161,1288,1226,1226,5490.681,3.001835,2.974917816,0.001023772,0.026917184,26.29216367,28.39652654
3.2mhz_ss.csv,Stainless Steel,4-Layer,Linear Actuator,sensor1, sensor2,Crack 1,4526.191,4489.369,570,678,610,610,4508.799,2.980462,2.976571284,0.000673581,0.003890716,5.776168067,15.23279643
3.2mhz_ss.csv,Stainless Steel,4-Layer,Linear Actuator,sensor1, sensor2,Crack 1,4536.442,4577.392,811,928,867,867,4552.966,2.980564,2.976622543,0.000673581,0.003941457,5.851497753,15.34534085
3.2mhz_ss.csv,Stainless Steel,4-Layer,Linear Actuator,sensor1, sensor2,Crack 2,4650.924,4570.007,343,472,412,412,4567.979,2.993445,2.976450737,0.000673581,0.016994263,25.22973099,28.0382524
3.2mhz_ss.csv,Stainless Steel,4-Layer,Linear Actuator,sensor1, sensor2,Crack 2,4626.698,4694.834,1040,1183,1103,1103,4625.643,2.993586,2.976381016,0.000673581,0.017204984,25.54256655,28.14529067
3.2mhz_ss.csv,Stainless Steel,4-Layer,Linear Actuator,sensor1, sensor2,Crack 3,4774.025,4687.814,108,272,193,193,4644.031,3.014054,2.975868006,0.000673581,0.038185994,56.69103385,35.07028754
3.2mhz_ss.csv,Stainless Steel,4-Layer,Linear Actuator,sensor1, sensor2,Crack 3,4737.256,4828.874,1255,1416,1339,1339,4695.111,3.013147,2.975451738,0.000673581,0.037695262,55.96249148,34.95794082
3.2mhz_titan.csv,Titanium,4-Layer,Linear Actuator,sensor1, sensor2,Crack 1,4152.339,4127.445,540,668,615,615,4136.669,3.02534,3.023080437,0.000429879,0.002259563,5.256274248,14.41356033
3.2mhz_titan.csv,Titanium,4-Layer,Linear Actuator,sensor1, sensor2,Crack 1,4161.889,4186.149,809,931,840,840,4166.798,3.025328,3.023171887,0.000429879,0.002156113,5.015624814,14.00650085
3.2mhz_titan.csv,Titanium,4-Layer,Linear Actuator,sensor1, sensor2,Crack 2,4200.904,4167.821,338,464,405,405,4162.973,3.037155,3.022760904,0.000429879,0.014394096,33.48405092,30.49675987
3.2mhz_titan.csv,Titanium,4-Layer,Linear Actuator,sensor1, sensor2,Crack 2,4201.169,4240.166,1014,1152,1071,1071,4198.781,3.037045,3.022771338,0.000429879,0.014273662,33.20389376,30.42378031
3.2mhz_titan.csv,Titanium,4-Layer,Linear Actuator,sensor1, sensor2,Crack 3,4287.174,4219.618,105,266,192,192,4175.685,3.059826,3.022962159,0.000429879,0.036863841,85.75396021,38.66508371
3.2mhz_titan.csv,Titanium,4-Layer,Linear Actuator,sensor1, sensor2,Crack 3,4259.861,4294.623,1219,1353,1284,1284,4205.212,3.058619,3.022929528,0.000429879,0.035689472,83.02210307,38.38387461
alum_1.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4903.455,4930.162,412,488,445,445,4882.809,2.540863,2.536566422,0.001464383,0.004296578,2.934053116,9.349359435
alum_1.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,4822.952,4855.144,539,611,579,579,4793.766,2.553764,2.535675215,0.001464383,0.018088785,12.35249478,21.83509358
alum_1.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,4869.669,4799.852,683,759,722,722,4748.902,2.570163,2.536104383,0.001464383,0.034058617,23.25799559,27.33144568
alum_2.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4871.179,4891.987,371,463,412,412,4854.587,2.566633,2.560790941,0.001196227,0.005842059,4.88373739,13.77504606
alum_2.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,4871.113,4899.713,516,587,549,549,4832.147,2.57807,2.560614088,0.001196227,0.017455912,14.59247287,23.28257789
alum_2.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,4807.804,4824.374,638,720,678,678,4744.972,2.594089,2.560419402,0.001196227,0.033669598,28.14649269,28.98848571
alum_3.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4993.043,4908.476,389,482,436,436,4911.83,2.62786,2.621490205,0.002633018,0.006369795,2.419199059,7.673432096
alum_3.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,5061.426,4969.595,547,646,590,590,4855.654,2.638914,2.62125189,0.002633018,0.01766211,6.70793344,16.53177489
alum_3.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,4931.447,4851.629,729,836,785,785,4786.921,2.655972,2.61722379,0.002633018,0.03874821,14.71627234,23.35595633
alum_5.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4952.848,4842.079,391,460,428,428,4825.225,2.543727,2.540936132,0.002919109,0.002790868,0.956068256,-0.390222025
alum_5.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,4856.25,4871.592,516,590,552,552,4830.207,2.555012,2.537384696,0.002919109,0.017627304,6.038590095,15.61871101
alum_5.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,4865.697,4772.476,651,729,691,691,4735.147,2.571122,2.5374565,0.002919109,0.0336655,11.53279882,21.23869433
alum_6.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 1,4937.384,4890.859,323,391,354,354,4922.417,2.527174,2.521962435,0.001551831,0.005211565,3.358333497,10.52247643
alum_6.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 2,4870.535,4886.201,460,531,497,497,4768.777,2.540068,2.522318302,0.001551831,0.017749698,11.43790862,21.16693245
alum_6.csv,Aluminum,4-Layer,EC-ECLAIR,sensor1, sensor2,Crack 3,4906.027,4774.832,590,668,627,627,4837.916,2.554939,2.522659809,0.001551831,0.032279191,20.80071602,26.3615657
