timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1780433440.666,1605020.0,2673.246,2.668334,,,,,status,l_h=11.800000 c_f=220.000000 q=15.000000
1780433440.668,1605045.0,2673.331,2.668206,,,,,,
1780433440.669,1605070.0,2673.301,2.668334,,,,,,
1780433440.670,1605095.0,2673.32,2.668206,,,,,,
1780433440.746,1605120.0,2673.344,2.668334,,,,,,
1780433440.747,1605145.0,2673.327,2.668334,,,,,,
1780433440.748,1605170.0,2673.434,2.668334,,,,,,
1780433440.826,1605195.0,2673.346,2.668334,,,,,,
1780433440.827,1605220.0,2673.386,2.668463,,,,,,
1780433440.827,1605245.0,2673.297,2.668591,,,,,,
1780433440.878,1605270.0,2673.336,2.668591,,,,,,
1780433440.879,1605295.0,2673.373,2.668591,,,,,,
1780433440.891,1605320.0,2673.338,2.668591,,,,,,
1780433440.962,1605345.0,2673.482,2.668591,,,,,,
1780433440.963,1605370.0,2673.395,2.668591,,,,,,
1780433440.963,1605395.0,2673.458,2.668463,,,,,,
1780433441.012,1605420.0,2673.397,2.668463,,,,,,
1780433441.013,1605445.0,2673.436,2.668463,,,,,,
1780433441.081,1605470.0,2673.495,2.668334,,,,,,
1780433441.082,1605495.0,2673.408,2.668334,,,,,,
1780433441.168,1605520.0,2673.462,2.668334,,,,,,
1780433441.170,1605545.0,2673.336,2.668334,,,,,,
1780433441.171,1605570.0,2673.305,2.668206,,,,,,
1780433441.172,1605595.0,2673.194,2.668206,,,,,,
1780433441.265,1605620.0,2673.303,2.668206,,,,,,
1780433441.267,1605645.0,2673.412,2.668206,,,,,,
1780433441.268,1605670.0,2673.377,2.668334,,,,,,
1780433441.270,1605695.0,2673.377,2.668334,,,,,,
1780433441.347,1605720.0,2673.34,2.668463,,,,,,
1780433441.348,1605745.0,2673.34,2.668463,,,,,,
1780433441.349,1605770.0,2673.329,2.668463,,,,,,
1780433441.413,1605795.0,2673.307,2.668463,,,,,,
1780433441.414,1605820.0,2673.377,2.668334,,,,,,
1780433441.415,1605845.0,2673.308,2.668206,,,,,,
1780433441.479,1605870.0,2673.375,2.668206,,,,,,
1780433441.480,1605895.0,2673.373,2.668078,,,,,,
1780433441.546,1605920.0,2673.386,2.668078,,,,,,
1780433441.547,1605945.0,2673.548,2.668078,,,,,,
1780433441.548,1605970.0,2673.567,2.668078,,,,,,
1780433441.614,1605995.0,2673.644,2.668078,,,,,,
1780433441.615,1606020.0,2673.606,2.668078,,,,,,
1780433441.616,1606045.0,2673.674,2.667949,,,,,,
1780433441.697,1606070.0,2673.661,2.667821,,,,,,
1780433441.698,1606095.0,2673.661,2.667821,,,,,,
1780433441.699,1606120.0,2673.711,2.667693,,,,,,
1780433441.802,1606145.0,2673.626,2.667693,,,,,,
1780433441.804,1606170.0,2673.648,2.667693,,,,,,
1780433441.805,1606195.0,2673.685,2.667693,,,,,,
1780433441.807,1606220.0,2673.798,2.667693,,,,,,
1780433441.900,1606245.0,2673.702,2.667693,,,,,,
1780433441.903,1606270.0,2673.75,2.667693,,,,,,
1780433441.904,1606295.0,2673.722,2.667693,,,,,,
1780433441.906,1606320.0,2673.648,2.667693,,,,,,
1780433441.999,1606345.0,2673.676,2.667693,,,,,,
1780433442.000,1606370.0,2673.587,2.667693,,,,,,
1780433442.000,1606395.0,2673.646,2.667564,,,,,,
1780433442.001,1606420.0,2673.622,2.667693,,,,,,
1780433442.046,1606445.0,2673.637,2.667693,,,,,,
1780433442.046,1606470.0,2673.647,2.667821,,,,,,
1780433442.114,1606495.0,2673.661,2.667693,,,,,,
1780433442.116,1606520.0,2673.659,2.667693,,,,,,
1780433442.117,1606545.0,2673.588,2.667564,,,,,,
1780433442.198,1606570.0,2673.53,2.667564,,,,,,
1780433442.199,1606595.0,2673.445,2.667436,,,,,,
1780433442.200,1606620.0,2673.456,2.667307,,,,,,
1780433442.217,1606645.0,2673.489,2.667436,,,,,,
1780433442.240,1606670.0,2673.458,2.667436,,,,,,
1780433442.274,1606695.0,2673.449,2.667564,,,,,,
1780433442.298,1606720.0,2673.401,2.667693,,,,,,
1780433442.322,1606745.0,2673.449,2.667693,,,,,,
1780433442.346,1606770.0,2673.414,2.667693,,,,,,
1780433442.370,1606795.0,2673.423,2.667693,,,,,,
1780433442.393,1606820.0,2673.41,2.667693,,,,,,
1780433442.417,1606845.0,2673.399,2.667693,,,,,,
1780433442.451,1606870.0,2673.425,2.667693,,,,,,
1780433442.475,1606895.0,2673.407,2.667693,,,,,,
1780433442.499,1606920.0,2673.434,2.667564,,,,,,
1780433442.523,1606945.0,2673.436,2.667564,,,,,,
1780433442.548,1606970.0,2673.483,2.667564,,,,,,
1780433442.573,1606995.0,2673.575,2.667564,,,,,,
1780433442.598,1607020.0,2673.569,2.667693,,,,,,
1780433442.684,1607045.0,2673.575,2.667693,,,,,status,l_h=11.800000 c_f=220.000000 q=15.000000
1780433442.684,1607070.0,2673.541,2.667821,,,,,,
1780433442.685,1607095.0,2673.532,2.667693,,,,,,
1780433442.780,1607120.0,2673.512,2.667821,,,,,,
1780433442.782,1607145.0,2673.525,2.667821,,,,,,
1780433442.783,1607170.0,2673.578,2.667949,,,,,,
1780433442.784,1607195.0,2673.443,2.667949,,,,,,
1780433442.881,1607220.0,2673.399,2.668078,,,,,,
1780433442.883,1607245.0,2673.305,2.668206,,,,,,
1780433442.884,1607270.0,2673.321,2.668206,,,,,,
1780433442.885,1607295.0,2673.333,2.668206,,,,,,
1780433442.947,1607320.0,2673.373,2.668078,,,,,,
1780433442.948,1607345.0,2673.397,2.668078,,,,,,
1780433442.948,1607370.0,2673.338,2.668078,,,,,,
1780433443.033,1607395.0,2673.397,2.668078,,,,,,
1780433443.035,1607420.0,2673.373,2.668077,,,,,,
1780433443.036,1607445.0,2673.397,2.668078,,,,,,
1780433443.130,1607470.0,2673.399,2.668078,,,,,,
1780433443.131,1607495.0,2673.436,2.667949,,,,,,
1780433443.132,1607520.0,2673.419,2.667949,,,,,,
1780433443.133,1607545.0,2673.377,2.668078,,,,,,
1780433443.216,1607570.0,2673.399,2.667949,,,,,,
1780433443.217,1607595.0,2673.36,2.667949,,,,,,
1780433443.218,1607620.0,2673.347,2.667949,,,,,,
1780433443.219,1607645.0,2673.29,2.667949,,,,,,
1780433443.298,1607670.0,2673.246,2.667949,,,,,,
1780433443.299,1607695.0,2673.316,2.667821,,,,,,
1780433443.299,1607720.0,2673.364,2.667949,,,,,,
1780433443.364,1607745.0,2673.408,2.667821,,,,,,
1780433443.365,1607770.0,2673.384,2.667949,,,,,,
1780433443.365,1607795.0,2673.362,2.667821,,,,,,
