timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size
1780357345.385,76921.0,6672.899,9.271482,,,,
1780357345.387,76946.0,6672.98,9.271721,,,,
1780357345.388,76971.0,6672.96,9.27196,,,,
1780357345.466,76996.0,6673.049,9.27196,,,,
1780357345.467,77021.0,6673.157,9.27196,,,,
1780357345.467,77046.0,6673.177,9.2722,,,,
1780357345.542,77071.0,6673.109,9.2722,,,,
1780357345.542,77096.0,6673.041,9.2722,,,,
1780357345.543,77121.0,6672.966,9.272439,,,,
1780357345.616,77146.0,6672.884,9.272678,,,,
1780357345.617,77171.0,6672.803,9.272918,,,,
1780357345.618,77196.0,6672.749,9.272918,,,,
1780357345.700,77221.0,6672.675,9.272918,,,,
1780357345.702,77246.0,6672.675,9.273157,,,,
1780357345.702,77271.0,6672.661,9.273157,,,,
1780357345.716,77296.0,6672.621,9.273396,,,,
1780357345.801,77321.0,6672.709,9.273157,,,,
1780357345.802,77346.0,6672.607,9.272918,,,,
1780357345.803,77371.0,6672.743,9.272918,,,,
1780357345.883,77396.0,6672.757,9.272918,,,,
1780357345.884,77421.0,6672.844,9.272678,,,,
1780357345.885,77446.0,6672.804,9.272918,,,,
1780357345.886,77471.0,6672.756,9.272918,,,,
1780357345.968,77496.0,6672.811,9.272678,,,,
1780357345.969,77521.0,6672.837,9.272918,,,,
1780357345.969,77546.0,6672.885,9.273157,,,,
1780357346.050,77571.0,6672.791,9.273157,,,,
1780357346.051,77596.0,6672.784,9.273157,,,,
1780357346.051,77621.0,6672.681,9.273157,,,,
1780357346.136,77646.0,6672.641,9.272918,,,,
1780357346.137,77671.0,6672.505,9.272678,,,,
1780357346.139,77696.0,6672.573,9.272678,,,,
1780357346.140,77721.0,6672.627,9.272439,,,,
1780357346.228,77746.0,6672.709,9.272199,,,,
1780357346.230,77771.0,6672.926,9.27196,,,,
1780357346.231,77796.0,6673.028,9.27196,,,,
1780357346.233,77821.0,6631.173,9.2505,,,,
1780357346.318,77846.0,6629.318,9.249305,,,,
1780357346.319,77871.0,6626.954,9.247869,,,,
1780357346.320,77896.0,6623.44,9.245719,,,,
1780357346.434,77921.0,6620.21,9.244045,,,,
1780357346.435,77946.0,6616.803,9.242373,,,,
1780357346.436,77971.0,6613.136,9.24046,,,,
1780357346.437,77996.0,6609.381,9.23831,,,,
1780357346.438,78021.0,6606.069,9.236398,,,,
1780357346.551,78046.0,6602.549,9.234486,,,,
1780357346.553,78071.0,6599.163,9.232574,,,,
1780357346.555,78096.0,6595.804,9.230423,,,,
1780357346.556,78121.0,6592.412,9.22875,,,,
1780357346.557,78146.0,6588.946,9.226838,,,,
1780357346.684,78171.0,6585.533,9.224688,,,,
1780357346.685,78196.0,6582.119,9.222537,,,,
1780357346.686,78221.0,6578.571,9.220386,,,,
1780357346.687,78246.0,6575.163,9.218474,,,,
1780357346.687,78271.0,6571.737,9.216801,,,,
1780357346.801,78296.0,6568.323,9.214889,,,,
1780357346.802,78321.0,6564.775,9.212976,,,,
1780357346.803,78346.0,6561.369,9.211304,,,,
1780357346.803,78371.0,6557.754,9.20963,,,,
1780357346.804,78396.0,6554.222,9.207958,,,,
1780357346.925,78421.0,6552.259,9.206761,,,,
1780357346.927,78446.0,6593.314,9.227504,,,,
1780357346.929,78471.0,6598.033,9.230137,,,,
1780357346.930,78496.0,6625.05,9.242419,,,,
1780357346.932,78521.0,6677.388,9.265192,,,,
1780357347.051,78546.0,6731.424,9.288227,,,,
1780357347.052,78571.0,6808.41,9.320163,,,,
1780357347.053,78596.0,6898.026,9.356827,,,,
1780357347.054,78621.0,7000.482,9.398008,,,,
1780357347.054,78646.0,7108.256,9.440715,,,,
1780357347.169,78671.0,7216.952,9.483912,,,,
1780357347.170,78696.0,7329.599,9.528384,,,,
1780357347.172,78721.0,7449.569,9.575374,,,,
1780357347.173,78746.0,7570.8,9.622631,,,,
1780357347.283,78771.0,7692.181,9.669635,,,,
1780357347.284,78796.0,7813.228,9.717131,,,,
1780357347.284,78821.0,7934.564,9.764627,,,,
1780357347.285,78846.0,8056.131,9.812122,,,,
1780357347.286,78871.0,8177.64,9.859381,,,,
1780357347.383,78896.0,8299.145,9.906891,,,,
1780357347.384,78921.0,8420.749,9.954388,,,,
1780357347.385,78946.0,8542.097,10.001644,,,,
1780357347.386,78971.0,8663.807,10.048902,,,,
1780357347.516,78996.0,8785.677,10.09616,,,,
1780357347.517,79021.0,8907.297,10.143671,,,,
1780357347.518,79046.0,9027.687,10.190211,,,,
1780357347.519,79071.0,9144.759,10.235767,,,,
1780357347.519,79096.0,9257.301,10.279154,,,,
1780357347.633,79121.0,9347.297,10.312636,,,,
1780357347.634,79146.0,9411.386,10.335335,,,,
1780357347.634,79171.0,9470.793,10.356787,,,,
1780357347.635,79196.0,9504.668,10.368567,,,,
1780357347.636,79221.0,9525.032,10.375352,,,,
1780357347.751,79246.0,9530.68,10.377114,,,,
1780357347.752,79271.0,9530.693,10.376862,,,,
1780357347.753,79296.0,9527.434,10.375349,,,,
1780357347.754,79321.0,9519.201,10.372322,,,,
1780357347.756,79346.0,9503.045,10.366766,,,,
1780357347.866,79371.0,9483.129,10.359697,,,,
1780357347.867,79396.0,9460.721,10.352128,,,,
1780357347.868,79421.0,9321.977,10.295383,,,,
1780357347.868,79446.0,9187.124,10.241237,,,,
1780357347.952,79471.0,9052.193,10.187088,,,,
1780357347.954,79496.0,8917.207,10.132705,,,,
1780357347.955,79521.0,8782.26,10.078302,,,,
1780357347.956,79546.0,8647.282,10.024156,,,,
1780357348.042,79571.0,8511.575,9.969298,,,,
1780357348.043,79596.0,8367.443,9.910437,,,,
1780357348.044,79621.0,8222.801,9.851341,,,,
1780357348.115,79646.0,8077.951,9.791756,,,,
1780357348.116,79671.0,7927.882,9.73008,,,,
1780357348.117,79696.0,7779.736,9.668444,,,,
1780357348.200,79721.0,7632.303,9.607294,,,,
1780357348.201,79746.0,7485.662,9.546398,,,,
1780357348.202,79771.0,7340.769,9.486514,,,,
1780357348.283,79796.0,7198.635,9.427135,,,,
1780357348.285,79821.0,7059.159,9.368769,,,,
1780357348.287,79846.0,6920.899,9.310905,,,,
1780357348.288,79871.0,6784.549,9.253548,,,,
1780357348.382,79896.0,6648.25,9.196207,,,,
1780357348.383,79921.0,6514.431,9.140108,,,,
1780357348.384,79946.0,6381.5,9.084009,,,,
1780357348.385,79971.0,6249.306,9.028163,,,,
1780357348.482,79996.0,6119.648,8.973322,,,,
1780357348.483,80021.0,5992.509,8.919234,,,,
1780357348.484,80046.0,5981.884,8.914303,,,,
1780357348.485,80071.0,5967.105,8.906541,,,,
1780357348.582,80096.0,5952.43,8.899014,,,,
1780357348.584,80121.0,5937.923,8.891722,,,,
1780357348.584,80146.0,5923.646,8.884428,,,,
1780357348.585,80171.0,5910.474,8.877604,,,,
1780357348.692,80196.0,5898.533,8.871488,,,,
1780357348.693,80221.0,5902.803,8.873841,,,,
1780357348.693,80246.0,5907.596,8.876429,,,,
1780357348.694,80271.0,5912.884,8.879487,,,,
1780357348.801,80296.0,5924.643,8.885363,,,,
1780357348.802,80321.0,5939.521,8.893359,,,,
1780357348.803,80346.0,5958.299,8.903015,,,,
1780357348.803,80371.0,5984.632,8.916475,,,,
1780357348.804,80396.0,6016.933,8.932561,,,,
