file,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
titan_1.csv,sensor1, sensor2,Crack 1,3470.676,3520.726,378,527,440,440,3332.587,2.67222,2.6698947672209026,0.0071274932732700675,0.0023252327790972416,0.3262343000473199,-9.729407589510311
titan_1.csv,sensor1, sensor2,Crack 2,3528.713,3502.455,571,674,626,626,3345.027,2.68328,2.660173475,0.0071274932732700675,0.023106524999999767,3.2418866092312113,10.215956411074172
titan_1.csv,sensor1, sensor2,Crack 3,3447.272,3414.181,752,871,812,812,3182.927,2.714559,2.6660359206349207,0.0071274932732700675,0.04852307936507927,6.807874452446457,16.66023076199927
titan_2.csv,sensor1, sensor2,Crack 1,3438.952,3486.111,362,482,422,422,3350.676,2.649929,2.6480050690476187,0.005881785173814157,0.0019239309523815251,0.32709983372852686,-9.70639353271294
titan_2.csv,sensor1, sensor2,Crack 2,3458.097,3320.798,541,638,595,595,3287.321,2.664366,2.639728422818792,0.005881785173814157,0.02463757718120796,4.188792424941839,12.441776789769357
titan_2.csv,sensor1, sensor2,Crack 3,3478.418,3189.122,730,860,782,782,3284.647,2.693105,2.6489245654952076,0.005881785173814157,0.044180434504792476,7.511398869425696,17.514416488948225
titan_4.csv,sensor1, sensor2,Crack 1,3445.003,3558.835,325,461,423,423,3373.503,2.753582,2.749276345505618,0.004841926018492665,0.0043056544943822495,0.8892441722442175,-1.0195794465539965
titan_4.csv,sensor1, sensor2,Crack 2,3550.109,3492.707,493,597,552,552,3435.741,2.761742,2.7467828586956524,0.004841926018492665,0.0149591413043475,3.089502245018691,9.797770302705581
titan_4.csv,sensor1, sensor2,Crack 3,3435.715,3388.934,659,782,721,721,3305.874,2.788408,2.743541112692764,0.004841926018492665,0.04486688730723598,9.266330616344991,19.33815582947897
titan_7.csv,sensor1, sensor2,Crack 1,3484.288,3334.126,322,425,398,398,3344.663,2.84486,2.841359729381444,0.0052748435860243475,0.0035002706185562893,0.6635780874773664,-3.5621592716632513
titan_7.csv,sensor1, sensor2,Crack 2,3436.637,3463.266,492,589,531,531,3454.731,2.852862,2.8400285,0.0052748435860243475,0.012833500000000164,2.4329631373340455,7.722710576695345
titan_7.csv,sensor1, sensor2,Crack 3,3457.075,3330.102,642,773,701,701,3361.501,2.874634,2.837675065934066,0.0052748435860243475,0.03695893406593376,7.006640758762238,16.91019702237967
