file,x_col,y_col,frequency,n_samples,noise_floor,noise_sigma,signal_amplitude,snr_linear,snr_db,peak_count,peak_indices,peak_snr_db_values,peak_labels,peak_height_threshold
flex08_100_a.csv,sensor1, sensor2,2.415,1598,22.5706976,0.027451358,0.118254286,4.307775454,12.68506115,2,238;1393,12.418407;12.943772,Peak;Peak,22.65305167
flex08_100_b.csv,sensor1, sensor2,2.415,1510,22.57237506,0.029705149,0.125118484,4.212013345,12.48979477,2,210;1335,12.489140;12.490450,Peak;Peak,22.66149051
flex08_100_c.csv,sensor1, sensor2,2.415,1521,22.55829039,0.041729169,0.184600287,4.423770949,12.91585265,2,226;1338,13.883987;11.826114,Peak;Peak,22.6834779
flex08_220_a.csv,sensor1, sensor2,1.643,1625,20.29140831,0.048325017,0.198490854,4.107414021,12.27136963,2,250;1459,12.231422;12.311134,Peak;Peak,20.43638336
flex08_220_b.csv,sensor1, sensor2,1.643,1559,20.29401928,0.048585027,0.195516845,4.024220168,12.09363467,2,203;1360,12.051990;12.135080,Peak;Peak,20.43977437
flex08_220_c.csv,sensor1, sensor2,1.643,1591,20.29345656,0.046250882,0.189671735,4.100932284,12.25765196,2,220;1417,12.208319;12.306706,Peak;Peak,20.43220921
flex08_440_a.csv,sensor1, sensor2,1.167,1614,20.32844044,0.034029911,0.142398705,4.184515903,12.43290446,2,227;1428,12.483787;12.381722,Peak;Peak,20.43053017
flex08_440_b.csv,sensor1, sensor2,1.167,1574,20.32447916,0.035521134,0.147701919,4.158142042,12.37798641,2,216;1394,12.389920;12.366036,Peak;Peak,20.43104256
flex08_440_c.csv,sensor1, sensor2,1.167,1520,20.3166463,0.033837769,0.138805409,4.102085165,12.26009345,2,181;1346,12.349809;12.169441,Peak;Peak,20.4181596
flex08_660_a.csv,sensor1, sensor2,0.955,1604,20.74028759,0.028628816,0.122940257,4.294283597,12.65781444,2,206;1345,12.687392;12.628136,Peak;Peak,20.82617404
flex08_660_b.csv,sensor1, sensor2,0.955,1459,20.74192464,0.027974515,0.115214087,4.118537445,12.29486038,2,152;1302,12.239932;12.349444,Peak;Peak,20.82584818
flex08_660_c.csv,sensor1, sensor2,0.955,1482,20.72684184,0.024979415,0.104231338,4.172689256,12.40832087,2,154;1260,12.406308;12.410333,Peak;Peak,20.80178008
