file,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
1.1mhz_alum.csv,sensor1, sensor2,Crack 1,9312.121,9311.497,477,595,544,544,9299.545,44.548786,44.48034392,0.002284017,0.068442083,29.96566741,29.5324791
1.1mhz_alum.csv,sensor1, sensor2,Crack 1,9313.719,9315.401,702,818,763,763,9305.525,44.552521,44.48015938,0.002284017,0.072361623,31.68174081,30.01618073
1.1mhz_alum.csv,sensor1, sensor2,Crack 2,9318.997,9312.8,294,413,355,355,9258.006,44.738628,44.47914665,0.002284017,0.259481347,113.607468,41.10813762
1.1mhz_alum.csv,sensor1, sensor2,Crack 2,9321.814,9327.546,904,1027,961,961,9267.012,44.735802,44.4797571,0.002284017,0.2560449,112.1029051,40.99233734
1.1mhz_alum.csv,sensor1, sensor2,Crack 3,9320.682,9318.316,111,232,176,176,9201.41,44.987465,44.47853099,0.002284017,0.508934012,222.8241265,46.95924426
1.1mhz_alum.csv,sensor1, sensor2,Crack 3,9323.817,9331.126,1093,1213,1146,1146,9209.913,44.994999,44.48103293,0.002284017,0.513966071,225.0272888,47.04470375
2.4mhz_alum.csv,sensor1, sensor2,Crack 1,12504.517,12491.793,506,633,577,577,12480.982,23.275497,23.24150682,0.0018116,0.033990184,18.76251917,25.46582298
2.4mhz_alum.csv,sensor1, sensor2,Crack 1,12493.535,12502.376,745,859,800,800,12481.35,23.273418,23.24219794,0.0018116,0.031220058,17.23341475,24.7274268
2.4mhz_alum.csv,sensor1, sensor2,Crack 2,12530.296,12513.884,315,431,380,380,12453.813,23.349148,23.24134818,0.0018116,0.10779982,59.5053032,35.49111345
2.4mhz_alum.csv,sensor1, sensor2,Crack 2,12514.602,12535.593,939,1054,992,992,12458.171,23.349377,23.24244391,0.0018116,0.106933086,59.02686759,35.42099474
2.4mhz_alum.csv,sensor1, sensor2,Crack 3,12578.771,12545.914,124,249,193,193,12425.969,23.452181,23.24351927,0.0018116,0.20866173,115.1808927,41.2276088
2.4mhz_alum.csv,sensor1, sensor2,Crack 3,12549.588,12587.579,1127,1258,1183,1183,12427.438,23.451122,23.24261452,0.0018116,0.208507476,115.0957446,41.22118534
3.2mhz_alum.csv,sensor1, sensor2,Crack 1,5478.672,5463.724,530,642,595,595,5462.076,2.981226,2.976696005,0.001023772,0.004529995,4.424807769,12.91788816
3.2mhz_alum.csv,sensor1, sensor2,Crack 1,5476.839,5480.781,766,876,833,833,5468.206,2.981564,2.976449893,0.001023772,0.005114107,4.9953568,13.97133027
3.2mhz_alum.csv,sensor1, sensor2,Crack 2,5509.325,5488.074,328,460,393,393,5475.149,2.989551,2.976003958,0.001023772,0.013547042,13.23247773,22.43282344
3.2mhz_alum.csv,sensor1, sensor2,Crack 2,5491.024,5508.869,969,1096,1032,1032,5480.377,2.989432,2.975626436,0.001023772,0.013805564,13.48499725,22.59701724
3.2mhz_alum.csv,sensor1, sensor2,Crack 3,5542.718,5522.04,129,252,195,195,5488.263,3.001545,2.974768799,0.001023772,0.026776201,26.15445438,28.35091329
3.2mhz_alum.csv,sensor1, sensor2,Crack 3,5519.794,5541.904,1161,1288,1226,1226,5490.681,3.001835,2.974917816,0.001023772,0.026917184,26.29216367,28.39652654
