file,raw_y_col,raw_x_col,window_order,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,window_width,window_point_count,window_mean_y,window_peak_raw_idx,window_peak_raw_x,window_peak_raw_y,manual_label
1.1mhz_alum.csv, sensor2,timestamp,1,57639.71590491788,60989.16983601592,111,232,3349.45393109804,122,44.68626384426229,176,59479.0,44.987465,Crack 3
1.1mhz_alum.csv, sensor2,timestamp,2,62511.64889560595,65793.43709072222,294,413,3281.788195116271,120,44.59150921666666,355,64146.0,44.738628,Crack 2
1.1mhz_alum.csv, sensor2,timestamp,3,67383.581886294,70530.03860944672,477,595,3146.456723152718,119,44.51666981512605,544,69159.0,44.548786,Crack 1
1.1mhz_alum.csv, sensor2,timestamp,4,73202.83518072698,76213.96043191613,702,818,3011.1252511891507,117,44.51778337606837,763,74730.0,44.552521,Crack 1
1.1mhz_alum.csv, sensor2,timestamp,5,78345.43111534216,81627.21931045843,904,1027,3281.788195116271,124,44.59203170967743,961,79872.0,44.735802,Crack 2
1.1mhz_alum.csv, sensor2,timestamp,6,83251.19697402112,86566.81803712828,1093,1213,3315.621063107159,121,44.69153964462811,1146,84689.0,44.994999,Crack 3
1.1mhz_ss.csv, sensor2,timestamp,1,100094.09787070293,103846.44676757311,125,266,3752.348896870186,142,45.77997119014084,198,102034.0,46.077728,Crack 3
1.1mhz_ss.csv, sensor2,timestamp,2,105340.43753206774,108571.62685992818,327,451,3231.1893278604402,125,45.67718790399999,393,107101.0,45.763329,Crack 2
1.1mhz_ss.csv, sensor2,timestamp,3,110517.2892508979,113574.75872242176,530,651,3057.4694715238584,122,45.6075616885246,591,112051.0,45.61924,Crack 1
1.1mhz_ss.csv, sensor2,timestamp,4,116389.0203950744,119446.48986659826,765,886,3057.4694715238584,122,45.60854649180329,813,117601.0,45.620121,Crack 1
1.1mhz_ss.csv, sensor2,timestamp,5,121287.92034376603,124970.78129810159,961,1107,3682.860954335556,147,45.67403581632653,1030,123026.0,45.765656,Crack 2
1.1mhz_ss.csv, sensor2,timestamp,6,126395.28412006158,130217.1209594664,1165,1309,3821.8368394048157,145,45.78008843448276,1236,128272.0,46.069744,Crack 3
1.1mhz_titan.csv, sensor2,timestamp,1,166949.31739363517,170841.0414971178,121,264,3891.724103482644,144,46.425753625,195,169004.0,46.636795,Crack 3
1.1mhz_titan.csv, sensor2,timestamp,2,172309.6166305075,175834.1969506427,324,456,3524.5803201352246,133,46.33171215037594,392,174121.0,46.385365,Crack 2
1.1mhz_titan.csv, sensor2,timestamp,3,177633.20148904505,180753.9236474981,529,649,3120.722158453049,121,46.28509990909091,609,179738.0,46.288818,Crack 1
1.1mhz_titan.csv, sensor2,timestamp,4,184351.9327243028,187509.36926109061,794,919,3157.4365367878054,126,46.28572730952381,868,186213.0,46.289478,Crack 1
1.1mhz_titan.csv, sensor2,timestamp,5,189308.37379949295,192869.66849796294,992,1134,3561.294698469981,143,46.3337653986014,1063,191088.0,46.38092,Crack 2
1.1mhz_titan.csv, sensor2,timestamp,6,194448.38676635682,198193.2533565005,1198,1347,3744.866590143676,150,46.43555732,1271,196288.0,46.634781,Crack 3
2.4mhz_alum.csv, sensor2,timestamp,1,90774.21759965699,93924.11976493437,124,249,3149.902165277381,126,23.330459261904764,193,92508.0,23.452181,Crack 3
