file,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
1.1mhz_alum.csv,sensor1, sensor2,Crack 1,9312.121,9311.497,477,595,544,544,9299.545,44.548786,44.48034391715976,0.0022840166347087637,0.06844208284024234,29.965667412474616,29.532479099903846
1.1mhz_alum.csv,sensor1, sensor2,Crack 1,9313.719,9315.401,702,818,763,763,9305.525,44.552521,44.48015937696335,0.0022840166347087637,0.07236162303664884,31.681740814412112,30.01618073443634
1.1mhz_alum.csv,sensor1, sensor2,Crack 2,9318.997,9312.8,294,413,355,355,9258.006,44.738628,44.479146653225804,0.0022840166347087637,0.2594813467741943,113.6074680153461,41.10813761539667
1.1mhz_alum.csv,sensor1, sensor2,Crack 2,9321.814,9327.546,904,1027,961,961,9267.012,44.735802,44.4797571,0.0022840166347087637,0.25604489999999913,112.10290507916882,40.99233734440701
1.1mhz_alum.csv,sensor1, sensor2,Crack 3,9320.682,9318.316,111,232,176,176,9201.41,44.987465,44.47853098837209,0.0022840166347087637,0.5089340116279075,222.82412653829118,46.959244255632285
1.1mhz_alum.csv,sensor1, sensor2,Crack 3,9323.817,9331.126,1093,1213,1146,1146,9209.913,44.994999,44.48103292907801,0.0022840166347087637,0.5139660709219882,225.02728881723942,47.04470375459289
1.1mhz_ss.csv,sensor1, sensor2,Crack 1,7340.532,7314.875,530,651,591,591,7334.274,45.61924,45.592649476439796,0.0047257693845297166,0.026590523560201973,5.62670782185198,15.005087282458188
1.1mhz_ss.csv,sensor1, sensor2,Crack 1,7337.876,7378.087,765,886,813,813,7358.163,45.620121,45.59326595187166,0.0047257693845297166,0.02685504812833983,5.6826827428889235,15.091068212012889
1.1mhz_ss.csv,sensor1, sensor2,Crack 2,7427.667,7364.333,327,451,393,393,7375.27,45.763329,45.5940928768116,0.0047257693845297166,0.16923612318839787,35.81133767178936,31.080410872975563
1.1mhz_ss.csv,sensor1, sensor2,Crack 2,7412.778,7481.04,961,1107,1030,1030,7431.109,45.765656,45.595369870229,0.0047257693845297166,0.1702861297710001,36.03352510777376,31.1341350120696
1.1mhz_ss.csv,sensor1, sensor2,Crack 3,7541.087,7466.964,125,266,198,198,7407.704,46.077728,45.60069127027028,0.0047257693845297166,0.47703672972971845,100.9437175016086,40.08158589317346
1.1mhz_ss.csv,sensor1, sensor2,Crack 3,7509.054,7596.27,1165,1309,1236,1236,7457.437,46.069744,45.60121018320611,0.0047257693845297166,0.4685338167938866,99.14445218754842,39.92536834929463
1.1mhz_titan.csv,sensor1, sensor2,Crack 1,6724.232,6703.825,529,649,609,609,6721.079,46.288818,46.28210243518519,0.004125497837311836,0.006715564814811614,1.627819254702957,4.232123624786947
1.1mhz_titan.csv,sensor1, sensor2,Crack 1,6727.401,6756.827,794,919,868,868,6754.385,46.289478,46.28235401851852,0.004125497837311836,0.00712398148148452,1.7268174078419805,4.744928361551724
1.1mhz_titan.csv,sensor1, sensor2,Crack 2,6775.582,6736.998,324,456,392,392,6787.115,46.385365,46.27987341221374,0.004125497837311836,0.10549158778626122,25.570632187023342,28.154829305885958
1.1mhz_titan.csv,sensor1, sensor2,Crack 2,6775.272,6826.341,992,1134,1063,1063,6829.43,46.38092,46.28008465185186,0.004125497837311836,0.10083534814814499,24.441983034427924,27.76272876624839
1.1mhz_titan.csv,sensor1, sensor2,Crack 3,6861.49,6795.513,121,264,195,195,6828.806,46.636795,46.28643399444445,0.004125497837311836,0.3503610055555484,84.92575184182928,38.58078800676416
1.1mhz_titan.csv,sensor1, sensor2,Crack 3,6849.004,6899.123,1198,1347,1271,1271,6877.261,46.634781,46.28369808588957,0.004125497837311836,0.35108291411042813,85.10073885754183,38.598666614232386
2.4mhz_alum.csv,sensor1, sensor2,Crack 1,12504.517,12491.793,506,633,577,577,12480.982,23.275497,23.241506816216216,0.0018116002163225352,0.03399018378378571,18.76251916815522,25.465822978705187
2.4mhz_alum.csv,sensor1, sensor2,Crack 1,12493.535,12502.376,745,859,800,800,12481.35,23.273418,23.242197942105264,0.0018116002163225352,0.031220057894735476,17.233414753124038,24.727426804331586
2.4mhz_alum.csv,sensor1, sensor2,Crack 2,12530.296,12513.884,315,431,380,380,12453.813,23.349148,23.241348179856118,0.0018116002163225352,0.10779982014388167,59.50530319692185,35.491113447857245
2.4mhz_alum.csv,sensor1, sensor2,Crack 2,12514.602,12535.593,939,1054,992,992,12458.171,23.349377,23.242443913907284,0.0018116002163225352,0.10693308609271668,59.02686758880274,35.420994737778585
