manual_label,notch,speed,delay,speed_mm_s,sampling_freq_hz,peak_snr_db
Crack 1,0.008 notch,40,50,4.9,20.0,23.27216028
Crack 1,0.008 notch,40,50,4.9,20.0,23.52140812
Crack 1,0.008 notch,50,50,7.1,20.0,23.12439584
Crack 1,0.008 notch,50,50,7.1,20.0,22.48729734
Crack 1,0.008 notch,60,50,9.1,20.0,24.64004015
Crack 1,0.008 notch,60,50,9.1,20.0,24.98910417
Crack 1,0.008 notch,70,50,11.4,20.0,22.82249089
Crack 1,0.008 notch,70,50,11.4,20.0,22.81677186
Crack 1,0.008 notch,80,50,13.2,20.0,24.11588321
Crack 1,0.008 notch,80,50,13.2,20.0,24.30461295
Crack 1,0.008 notch,90,50,15.2,20.0,23.17791003
Crack 1,0.008 notch,90,50,15.2,20.0,23.76562951
Crack 1,0.008 notch,100,50,17.2,20.0,23.65105183
Crack 1,0.008 notch,100,50,17.2,20.0,23.06719661
Crack 1,0.008 notch,40,25,4.9,40.0,27.48316689
Crack 1,0.008 notch,40,25,4.9,40.0,27.70339802
Crack 1,0.008 notch,50,25,7.1,40.0,28.48438438
Crack 1,0.008 notch,50,25,7.1,40.0,28.60523634
Crack 1,0.008 notch,60,25,9.1,40.0,30.44703721
Crack 1,0.008 notch,60,25,9.1,40.0,30.1518402
Crack 1,0.008 notch,70,25,11.4,40.0,26.72871521
Crack 1,0.008 notch,70,25,11.4,40.0,26.75175153
Crack 1,0.008 notch,80,25,13.2,40.0,26.65231563
Crack 1,0.008 notch,80,25,13.2,40.0,26.74842502
Crack 1,0.008 notch,90,25,15.2,40.0,25.10355485
Crack 1,0.008 notch,90,25,15.2,40.0,25.22448748
Crack 1,0.008 notch,100,25,17.2,40.0,29.06382367
Crack 1,0.008 notch,100,25,17.2,40.0,28.90537724
Crack 1,0.008 notch,40,10,4.9,100.0,28.33743271
Crack 1,0.008 notch,40,10,4.9,100.0,27.98711883
Crack 1,0.008 notch,50,10,7.1,100.0,27.10314342
Crack 1,0.008 notch,50,10,7.1,100.0,27.02615651
Crack 1,0.008 notch,60,10,9.1,100.0,27.99641072
Crack 1,0.008 notch,60,10,9.1,100.0,28.0004403
Crack 1,0.008 notch,70,10,11.4,100.0,24.84375073
Crack 1,0.008 notch,70,10,11.4,100.0,24.66827904
Crack 1,0.008 notch,80,10,13.2,100.0,21.28011521
Crack 1,0.008 notch,80,10,13.2,100.0,20.85242605
Crack 1,0.008 notch,90,10,15.2,100.0,27.0318054
Crack 1,0.008 notch,90,10,15.2,100.0,26.53404925
Crack 1,0.008 notch,100,10,17.2,100.0,28.32257801
Crack 1,0.008 notch,100,10,17.2,100.0,28.36329701
Crack 1,0.008 notch,150,10,27.5,100.0,26.79298782
Crack 1,0.008 notch,150,10,27.5,100.0,26.83076547
Crack 1,0.008 notch,200,10,34.9,100.0,20.04513044
Crack 1,0.008 notch,200,10,34.9,100.0,19.84211915
Crack 1,0.008 notch,250,10,43.2,100.0,24.4172103
Crack 1,0.008 notch,250,10,43.2,100.0,24.36446522
Crack 1,0.008 notch,40,5,4.9,200.0,26.7285563
Crack 1,0.008 notch,40,5,4.9,200.0,26.3271978
Crack 1,0.008 notch,50,5,7.1,200.0,25.67361297
Crack 1,0.008 notch,50,5,7.1,200.0,26.11703817
Crack 1,0.008 notch,60,5,9.1,200.0,26.02582124
Crack 1,0.008 notch,60,5,9.1,200.0,26.22309636
Crack 1,0.008 notch,70,5,11.4,200.0,26.53359007
Crack 1,0.008 notch,70,5,11.4,200.0,26.74504127
Crack 1,0.008 notch,80,5,13.2,200.0,27.6103117
Crack 1,0.008 notch,80,5,13.2,200.0,27.54438572
Crack 1,0.008 notch,90,5,15.2,200.0,23.09879208
Crack 1,0.008 notch,90,5,15.2,200.0,23.06640376
Crack 1,0.008 notch,100,5,17.2,200.0,24.74368281
Crack 1,0.008 notch,100,5,17.2,200.0,25.24063622
Crack 1,0.008 notch,150,5,27.5,200.0,25.35998789
Crack 1,0.008 notch,150,5,27.5,200.0,25.24788191
Crack 1,0.008 notch,200,5,34.9,200.0,21.46520792
Crack 1,0.008 notch,200,5,34.9,200.0,20.72938994
Crack 1,0.008 notch,250,5,43.2,200.0,23.58275993
Crack 1,0.008 notch,250,5,43.2,200.0,23.38501533
Crack 2,0.020 notch,40,50,4.9,20.0,34.45054298
Crack 2,0.020 notch,40,50,4.9,20.0,34.58238343
Crack 2,0.020 notch,50,50,7.1,20.0,34.36058074
Crack 2,0.020 notch,50,50,7.1,20.0,34.2989056
Crack 2,0.020 notch,60,50,9.1,20.0,36.47377231
Crack 2,0.020 notch,60,50,9.1,20.0,36.32045398
Crack 2,0.020 notch,70,50,11.4,20.0,34.26907496
Crack 2,0.020 notch,70,50,11.4,20.0,34.18496741
Crack 2,0.020 notch,80,50,13.2,20.0,35.39923315
Crack 2,0.020 notch,80,50,13.2,20.0,35.32128017
Crack 2,0.020 notch,90,50,15.2,20.0,35.60524288
Crack 2,0.020 notch,90,50,15.2,20.0,35.56442762
Crack 2,0.020 notch,100,50,17.2,20.0,34.46273547
Crack 2,0.020 notch,100,50,17.2,20.0,34.51768255
Crack 2,0.020 notch,40,25,4.9,40.0,38.7696819
Crack 2,0.020 notch,40,25,4.9,40.0,38.76394948
Crack 2,0.020 notch,50,25,7.1,40.0,39.57115179
Crack 2,0.020 notch,50,25,7.1,40.0,39.61755968
Crack 2,0.020 notch,60,25,9.1,40.0,41.02953038
Crack 2,0.020 notch,60,25,9.1,40.0,41.03764056
Crack 2,0.020 notch,70,25,11.4,40.0,37.75467722
Crack 2,0.020 notch,70,25,11.4,40.0,37.63222291
Crack 2,0.020 notch,80,25,13.2,40.0,37.29682008
Crack 2,0.020 notch,80,25,13.2,40.0,37.368141
Crack 2,0.020 notch,90,25,15.2,40.0,35.65428363
Crack 2,0.020 notch,90,25,15.2,40.0,35.40895666
Crack 2,0.020 notch,100,25,17.2,40.0,38.86239509
Crack 2,0.020 notch,100,25,17.2,40.0,38.84851785
Crack 2,0.020 notch,40,10,4.9,100.0,39.25133573
Crack 2,0.020 notch,40,10,4.9,100.0,39.06513161
Crack 2,0.020 notch,50,10,7.1,100.0,38.36107931
Crack 2,0.020 notch,50,10,7.1,100.0,38.18581649
Crack 2,0.020 notch,60,10,9.1,100.0,38.95616552
Crack 2,0.020 notch,60,10,9.1,100.0,38.90552318
Crack 2,0.020 notch,70,10,11.4,100.0,35.91648084
Crack 2,0.020 notch,70,10,11.4,100.0,35.93934707
Crack 2,0.020 notch,80,10,13.2,100.0,33.04049247
Crack 2,0.020 notch,80,10,13.2,100.0,33.0358475
Crack 2,0.020 notch,90,10,15.2,100.0,38.2567443
Crack 2,0.020 notch,90,10,15.2,100.0,38.05290165
Crack 2,0.020 notch,100,10,17.2,100.0,39.62667041
Crack 2,0.020 notch,100,10,17.2,100.0,39.63444756
Crack 2,0.020 notch,150,10,27.5,100.0,38.25957725
Crack 2,0.020 notch,150,10,27.5,100.0,38.20996687
Crack 2,0.020 notch,200,10,34.9,100.0,30.79869508
Crack 2,0.020 notch,200,10,34.9,100.0,31.09753581
Crack 2,0.020 notch,250,10,43.2,100.0,36.27664752
Crack 2,0.020 notch,250,10,43.2,100.0,36.34891911
Crack 2,0.020 notch,40,5,4.9,200.0,37.31918969
Crack 2,0.020 notch,40,5,4.9,200.0,37.24991382
Crack 2,0.020 notch,50,5,7.1,200.0,36.80056173
Crack 2,0.020 notch,50,5,7.1,200.0,36.892825
Crack 2,0.020 notch,60,5,9.1,200.0,37.08492678
Crack 2,0.020 notch,60,5,9.1,200.0,36.96617463
Crack 2,0.020 notch,70,5,11.4,200.0,37.61192225
Crack 2,0.020 notch,70,5,11.4,200.0,37.38188202
Crack 2,0.020 notch,80,5,13.2,200.0,38.27985156
Crack 2,0.020 notch,80,5,13.2,200.0,38.37805423
Crack 2,0.020 notch,90,5,15.2,200.0,34.27956566
Crack 2,0.020 notch,90,5,15.2,200.0,34.12860822
Crack 2,0.020 notch,100,5,17.2,200.0,36.21960997
Crack 2,0.020 notch,100,5,17.2,200.0,36.26204529
Crack 2,0.020 notch,150,5,27.5,200.0,36.62715878
Crack 2,0.020 notch,150,5,27.5,200.0,36.55650834
Crack 2,0.020 notch,200,5,34.9,200.0,32.54162762
Crack 2,0.020 notch,200,5,34.9,200.0,32.45228854
Crack 2,0.020 notch,250,5,43.2,200.0,35.43053098
Crack 2,0.020 notch,250,5,43.2,200.0,35.34362142
Crack 3,0.040 notch,40,50,4.9,20.0,40.41534126
Crack 3,0.040 notch,40,50,4.9,20.0,40.36819732
Crack 3,0.040 notch,50,50,7.1,20.0,40.20848603
Crack 3,0.040 notch,50,50,7.1,20.0,40.12877885
Crack 3,0.040 notch,60,50,9.1,20.0,42.44723357
Crack 3,0.040 notch,60,50,9.1,20.0,42.25680965
Crack 3,0.040 notch,70,50,11.4,20.0,40.35632067
Crack 3,0.040 notch,70,50,11.4,20.0,40.14000133
Crack 3,0.040 notch,80,50,13.2,20.0,41.28250052
Crack 3,0.040 notch,80,50,13.2,20.0,41.33189921
Crack 3,0.040 notch,90,50,15.2,20.0,41.58672924
Crack 3,0.040 notch,90,50,15.2,20.0,41.44724142
Crack 3,0.040 notch,100,50,17.2,20.0,40.57544049
Crack 3,0.040 notch,100,50,17.2,20.0,40.41695931
Crack 3,0.040 notch,40,25,4.9,40.0,44.88614908
Crack 3,0.040 notch,40,25,4.9,40.0,44.71750126
Crack 3,0.040 notch,50,25,7.1,40.0,45.59671678
Crack 3,0.040 notch,50,25,7.1,40.0,45.58905852
Crack 3,0.040 notch,60,25,9.1,40.0,46.9685619
Crack 3,0.040 notch,60,25,9.1,40.0,46.93988544
Crack 3,0.040 notch,70,25,11.4,40.0,43.66136477
Crack 3,0.040 notch,70,25,11.4,40.0,43.56040323
Crack 3,0.040 notch,80,25,13.2,40.0,43.19899139
Crack 3,0.040 notch,80,25,13.2,40.0,43.32885725
