file,x_col,y_col,manual_label,window_start_x,window_end_x,window_start_raw_idx,window_end_raw_idx,peak_index_in_clean_series,peak_raw_idx,peak_x,peak_y,noise_floor,noise_sigma,peak_signal_amplitude,peak_snr_linear,peak_snr_db
flex08_100_alum.csv,sensor1, sensor2,Crack 1,12501.447,12492.401,512,629,577,577,12480.982,23.275497,23.24152811055277,0.0018438944759292173,0.03396888944723031,18.42236087296261,25.306905707660693
flex08_100_alum.csv,sensor1, sensor2,Crack 1,12495.384,12499.821,747,851,800,800,12481.35,23.273418,23.242296752380952,0.0018438944759292173,0.031121247619047665,16.87799818553301,24.54641871720151
flex08_100_alum.csv,sensor1, sensor2,Crack 2,12530.296,12514.635,315,429,380,380,12453.813,23.349148,23.2414270137931,0.0018438944759292173,0.10772098620689974,58.420363861990815,35.33128515160809
flex08_100_alum.csv,sensor1, sensor2,Crack 2,12514.218,12535.388,945,1051,992,992,12458.171,23.349377,23.24270231707317,0.0018438944759292173,0.10667468292682969,57.85292180186816,35.24650594868889
flex08_100_alum.csv,sensor1, sensor2,Crack 3,12582.713,12546.693,119,251,193,193,12425.969,23.452181,23.243554148351645,0.0018438944759292173,0.20862685164835426,113.1446806592434,41.07268282031931
flex08_100_alum.csv,sensor1, sensor2,Crack 3,12550.777,12584.68,1123,1254,1183,1183,12427.438,23.451122,23.242623692307692,0.0018438944759292173,0.20849830769230948,113.07496736614402,41.067329421579444
flex08_100_ss.csv,sensor1, sensor2,Crack 1,10170.662,10169.212,552,657,606,606,10171.814,23.430897,23.411219181818183,0.0036070289707172045,0.019677818181818907,5.455408964432649,14.736546260133148
flex08_100_ss.csv,sensor1, sensor2,Crack 1,10168.14,10195.606,750,867,799,799,10185.644,23.430134,23.411100196531795,0.0036070289707172045,0.01903380346820427,5.276864594857877,14.447519005162635
flex08_100_ss.csv,sensor1, sensor2,Crack 2,10199.748,10177.825,354,467,415,415,10124.288,23.511486,23.41052043624161,0.0036070289707172045,0.10096556375838972,27.991337074931838,28.940472882074705
flex08_100_ss.csv,sensor1, sensor2,Crack 2,10205.791,10227.305,949,1065,1003,1003,10148.68,23.50877,23.410375912408757,0.0036070289707172045,0.09839408759124169,27.278430084712483,28.716387447866595
flex08_100_ss.csv,sensor1, sensor2,Crack 3,10233.207,10218.963,155,288,227,227,10027.77,23.656868,23.41449133181818,0.0036070289707172045,0.24237666818181935,67.19565330622402,36.54682361400016
flex08_100_ss.csv,sensor1, sensor2,Crack 3,10243.952,10256.611,1122,1256,1185,1185,10051.409,23.653547,23.415724358490564,0.0036070289707172045,0.23782264150943533,65.93311100081013,36.382071361259456
flex08_100_titanium.csv,sensor1, sensor2,Crack 1,10079.623,10074.965,547,623,563,563,10083.952,24.161215,24.155872723140494,0.0027452695493862056,0.005342276859504835,1.9459935585193355,5.782827967319449
flex08_100_titanium.csv,sensor1, sensor2,Crack 1,10099.715,10095.394,760,877,801,801,10108.135,24.162426,24.156216271356783,0.0027452695493862056,0.006209728643217005,2.2619741091017427,7.0897525923493285
flex08_100_titanium.csv,sensor1, sensor2,Crack 2,10087.363,10077.271,322,440,383,383,10063.618,24.209377,24.15261896794872,0.0027452695493862056,0.05675803205128105,20.674848509491955,26.30884672073571
flex08_100_titanium.csv,sensor1, sensor2,Crack 2,10097.421,10098.508,941,1064,1007,1007,10090.063,24.211134,24.152584966386556,0.0027452695493862056,0.058549033613445545,21.327244032024502,26.57869476579657
flex08_100_titanium.csv,sensor1, sensor2,Crack 3,10090.534,10086.084,140,271,209,209,9967.742,24.323399,24.15347578947369,0.0027452695493862056,0.16992321052631,61.89673089271028,35.83335424284224
flex08_100_titanium.csv,sensor1, sensor2,Crack 3,10109.132,10128.782,1121,1263,1187,1187,9993.701,24.323719,24.153485532710285,0.0027452695493862056,0.1702334672897159,62.00974593834588,35.84919903984
