timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1783536698.926,3011446.0,9405.847,44.667488,,,,,smoothing 5,OK smoothing 5
1783536698.929,3011496.0,9405.51,44.668461,,,,,,
1783536698.930,3011546.0,9405.712,44.670498,,,,,,
1783536699.145,3011596.0,9405.644,44.670696,,,,,,
1783536699.146,3011646.0,9405.577,44.670887,,,,,,
1783536699.147,3011696.0,9405.475,44.668564,,,,,,
1783536699.147,3011746.0,9405.915,44.667294,,,,,,
1783536699.271,3011796.0,9406.084,44.666805,,,,,,
1783536699.272,3011846.0,9406.083,44.666805,,,,,,
1783536699.272,3011896.0,9406.185,44.666512,,,,,,
1783536699.495,3011946.0,9405.712,44.667877,,,,,,
1783536699.496,3011996.0,9405.577,44.668266,,,,,,
1783536699.497,3012046.0,9405.476,44.66856,,,,,,
1783536699.498,3012096.0,9406.185,44.666512,,,,,,
1783536699.625,3012146.0,9405.948,44.664574,,,,,,
1783536699.627,3012196.0,9406.15,44.666611,,,,,,
1783536699.629,3012246.0,9406.42,44.665833,,,,,,
1783536699.877,3012296.0,9406.487,44.665638,,,,,,
1783536699.878,3012346.0,9406.218,44.666416,,,,,,
1783536699.879,3012396.0,9406.354,44.668644,,,,,,
1783536699.880,3012446.0,9405.813,44.670204,,,,,,
1783536699.881,3012496.0,9402.947,44.673244,,,,,,
1783536700.014,3012546.0,9399.545,44.672592,,,,,,
1783536700.015,3012596.0,9395.705,44.673203,,,,,,
1783536700.016,3012646.0,9392.842,44.670998,,,,,,
1783536700.261,3012696.0,9390.381,44.667625,,,,,,
1783536700.262,3012746.0,9390.888,44.663536,,,,,,
1783536700.263,3012796.0,9392.099,44.662659,,,,,,
1783536700.264,3012846.0,9393.142,44.662262,,,,,,
1783536700.265,3012896.0,9393.242,44.664593,,,,,,
1783536700.398,3012946.0,9392.939,44.668087,,,,,,
1783536700.399,3012996.0,9391.861,44.671204,,,,,,
1783536700.645,3013046.0,9390.784,44.6717,,,,,,
1783536700.647,3013096.0,9389.843,44.669182,,,,,,
1783536700.649,3013146.0,9388.767,44.667049,,,,,,
1783536700.650,3013196.0,9387.893,44.66433,,,,,,
1783536700.651,3013246.0,9386.985,44.661716,,,,,,
1783536700.795,3013296.0,9385.607,44.660461,,,,,,
1783536700.796,3013346.0,9383.894,44.662792,,,,,,
1783536700.797,3013396.0,9381.779,44.666286,,,,,,
1783536701.027,3013446.0,9380.268,44.665413,,,,,,
1783536701.028,3013496.0,9378.724,44.664639,,,,,,
1783536701.028,3013546.0,9377.517,44.668125,,,,,,
1783536701.029,3013596.0,9376.408,44.671326,,,,,,
1783536701.031,3013646.0,9376.475,44.671135,,,,,,
1783536701.153,3013696.0,9375.939,44.675297,,,,,,
1783536701.154,3013746.0,9375.872,44.678116,,,,,,
1783536701.378,3013796.0,9375.537,44.679081,,,,,,
1783536701.379,3013846.0,9376.308,44.679474,,,,,,
1783536701.380,3013896.0,9376.107,44.682667,,,,,,
1783536701.381,3013946.0,9375.872,44.68597,,,,,,
1783536701.382,3013996.0,9373.761,44.694695,,,,,,
1783536701.514,3014046.0,9371.718,44.705833,,,,,,
1783536701.514,3014096.0,9369.104,44.716007,,,,,,
1783536701.515,3014146.0,9365.791,44.725582,,,,,,
1783536701.744,3014196.0,9361.71,44.73999,,,,,,
1783536701.745,3014246.0,9358.068,44.753132,,,,,,
1783536701.745,3014296.0,9353.896,44.76519,,,,,,
1783536701.746,3014346.0,9347.961,44.782341,,,,,,
1783536701.877,3014396.0,9341.9,44.805088,,,,,,
1783536701.877,3014446.0,9335.646,44.825783,,,,,,
1783536701.878,3014496.0,9329.068,44.847404,,,,,,
1783536702.111,3014546.0,9322.232,44.875023,,,,,,
1783536702.112,3014596.0,9315.08,44.906178,,,,,,
1783536702.113,3014646.0,9308.199,44.933922,,,,,,
1783536702.113,3014696.0,9300.606,44.963726,,,,,,
1783536702.115,3014746.0,9292.826,44.996693,,,,,,
1783536702.253,3014796.0,9285.614,45.025391,,,,,,
1783536702.254,3014846.0,9278.94,45.05254,,,,,,
1783536702.493,3014896.0,9272.864,45.083214,,,,,,
1783536702.494,3014946.0,9268.207,45.109783,,,,,,
1783536702.495,3014996.0,9264.211,45.131821,,,,,,
1783536702.496,3015046.0,9260.512,45.150383,,,,,,
1783536702.497,3015096.0,9257.536,45.164227,,,,,,
1783536702.638,3015146.0,9254.953,45.174316,,,,,,
1783536702.639,3015196.0,9252.11,45.185154,,,,,,
1783536702.640,3015246.0,9250.151,45.190815,,,,,,
1783536702.893,3015296.0,9248.455,45.195717,,,,,,
1783536702.894,3015346.0,9247.803,45.194981,,,,,,
1783536702.895,3015396.0,9247.247,45.191338,,,,,,
1783536702.896,3015446.0,9248.324,45.180351,,,,,,
1783536702.897,3015496.0,9249.793,45.17086,,,,,,
1783536703.034,3015546.0,9252.995,45.153744,,,,,,
1783536703.035,3015596.0,9256.918,45.134541,,,,,,
1783536703.036,3015646.0,9262.349,45.108353,,,,,,
1783536703.243,3015696.0,9268.869,45.081646,,,,,,
1783536703.244,3015746.0,9276.35,45.046921,,,,,,
1783536703.245,3015796.0,9284.468,45.012978,,,,,,
1783536703.246,3015846.0,9292.927,44.97805,,,,,,
1783536703.383,3015896.0,9302.825,44.941586,,,,,,
1783536703.384,3015946.0,9312.445,44.903305,,,,,,
1783536703.385,3015996.0,9322.213,44.869843,,,,,,
1783536703.644,3016046.0,9331.303,44.835712,,,,,,
1783536703.645,3016096.0,9339.438,44.804344,,,,,,
1783536703.646,3016146.0,9345.627,44.77599,,,,,,
1783536703.647,3016196.0,9350.058,44.752705,,,,,,
1783536703.648,3016246.0,9352.957,44.731232,,,,,,
1783536703.788,3016296.0,9354.559,44.716125,,,,,,
1783536703.789,3016346.0,9356.463,44.70277,,,,,,
1783536703.790,3016396.0,9357.832,44.693577,,,,,,
