timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1780434813.321,2977695.0,3230.098,2.591358,,,,,status,l_h=11.800000 c_f=220.000000 q=25.000000
1780434813.322,2977720.0,3230.087,2.591422,,,,,,
1780434813.323,2977745.0,3230.042,2.591422,,,,,,
1780434813.324,2977770.0,3230.038,2.591358,,,,,,
1780434813.403,2977795.0,3230.028,2.591358,,,,,,
1780434813.404,2977820.0,3230.013,2.591358,,,,,,
1780434813.406,2977845.0,3230.008,2.591358,,,,,,
1780434813.470,2977870.0,3229.997,2.591358,,,,,,
1780434813.472,2977895.0,3229.96,2.591358,,,,,,
1780434813.473,2977920.0,3229.983,2.591358,,,,,,
1780434813.553,2977945.0,3230.01,2.591358,,,,,,
1780434813.554,2977970.0,3229.988,2.591422,,,,,,
1780434813.567,2977995.0,3229.981,2.591358,,,,,,
1780434813.568,2978020.0,3229.981,2.591421,,,,,,
1780434813.655,2978045.0,3229.97,2.591358,,,,,,
1780434813.657,2978070.0,3229.96,2.591358,,,,,,
1780434813.658,2978095.0,3229.941,2.591295,,,,,,
1780434813.751,2978120.0,3229.92,2.591232,,,,,,
1780434813.753,2978145.0,3229.922,2.591295,,,,,,
1780434813.754,2978170.0,3229.972,2.591295,,,,,,
1780434813.755,2978195.0,3229.95,2.591358,,,,,,
1780434813.855,2978220.0,3229.954,2.591358,,,,,,
1780434813.856,2978245.0,3229.946,2.591358,,,,,,
1780434813.857,2978270.0,3229.943,2.591295,,,,,,
1780434813.858,2978295.0,3229.941,2.591295,,,,,,
1780434813.935,2978320.0,3229.951,2.591231,,,,,,
1780434813.937,2978345.0,3229.947,2.591231,,,,,,
1780434813.938,2978370.0,3229.951,2.591168,,,,,,
1780434814.035,2978395.0,3229.943,2.591168,,,,,,
1780434814.038,2978420.0,3229.938,2.591231,,,,,,
1780434814.039,2978445.0,3229.876,2.591231,,,,,,
1780434814.040,2978470.0,3229.867,2.591168,,,,,,
1780434814.041,2978495.0,3229.868,2.591168,,,,,,
1780434814.140,2978520.0,3229.839,2.591168,,,,,,
1780434814.141,2978545.0,3229.846,2.591168,,,,,,
1780434814.142,2978570.0,3229.809,2.591231,,,,,,
1780434814.142,2978595.0,3229.802,2.591168,,,,,,
1780434814.203,2978620.0,3229.81,2.591232,,,,,,
1780434814.204,2978645.0,3229.797,2.591295,,,,,,
1780434814.318,2978670.0,3229.795,2.591295,,,,,,
1780434814.319,2978695.0,3229.813,2.591295,,,,,,
1780434814.319,2978720.0,3229.807,2.591295,,,,,,
1780434814.320,2978745.0,3229.809,2.591358,,,,,,
1780434814.321,2978770.0,3229.823,2.591421,,,,,,
1780434814.384,2978795.0,3229.833,2.591422,,,,,,
1780434814.385,2978820.0,3229.819,2.591485,,,,,,
1780434814.439,2978845.0,3229.841,2.591485,,,,,,
1780434814.440,2978870.0,3229.827,2.591485,,,,,,
1780434814.441,2978895.0,3229.811,2.591422,,,,,,
1780434814.502,2978920.0,3229.817,2.591485,,,,,,
1780434814.502,2978945.0,3229.802,2.591422,,,,,,
1780434814.569,2978970.0,3229.806,2.591358,,,,,,
1780434814.570,2978995.0,3229.822,2.591295,,,,,,
1780434814.571,2979020.0,3229.815,2.591358,,,,,,
1780434814.669,2979045.0,3229.799,2.591358,,,,,,
1780434814.671,2979070.0,3229.802,2.591295,,,,,,
1780434814.672,2979095.0,3229.786,2.591231,,,,,,
1780434814.673,2979120.0,3229.78,2.591231,,,,,,
1780434814.758,2979145.0,3229.794,2.591231,,,,,,
1780434814.759,2979170.0,3229.795,2.591231,,,,,,
1780434814.761,2979195.0,3229.797,2.591231,,,,,,
1780434814.818,2979220.0,3229.811,2.591231,,,,,,
1780434814.819,2979245.0,3229.817,2.591295,,,,,,
1780434814.821,2979270.0,3229.816,2.591295,,,,,,
1780434814.903,2979295.0,3229.827,2.591358,,,,,,
1780434814.905,2979320.0,3229.834,2.591295,,,,,,
1780434814.906,2979345.0,3229.856,2.591295,,,,,,
1780434814.988,2979370.0,3229.862,2.591358,,,,,,
1780434814.990,2979395.0,3229.866,2.591295,,,,,,
1780434814.991,2979420.0,3229.863,2.591232,,,,,,
1780434814.992,2979445.0,3229.874,2.591232,,,,,,
1780434815.089,2979470.0,3229.868,2.591168,,,,,,
1780434815.091,2979495.0,3229.857,2.591105,,,,,,
1780434815.092,2979520.0,3229.853,2.591168,,,,,,
1780434815.100,2979546.0,3229.892,2.591105,,,,,,
1780434815.124,2979571.0,3229.873,2.591168,,,,,,
1780434815.149,2979596.0,3229.854,2.591231,,,,,,
1780434815.173,2979621.0,3229.844,2.591295,,,,,,
1780434815.197,2979646.0,3229.828,2.591295,,,,,,
1780434815.222,2979671.0,3229.813,2.591295,,,,,,
1780434815.246,2979696.0,3229.847,2.591358,,,,,,
1780434815.268,2979721.0,3229.893,2.591421,,,,,,
1780434815.301,2979746.0,3229.936,2.591484,,,,,,
1780434815.325,2979771.0,3229.976,2.591484,,,,,,
1780434815.349,2979796.0,3229.965,2.591485,,,,,,
1780434815.374,2979821.0,3229.994,2.591485,,,,,,
1780434815.397,2979846.0,3229.986,2.591548,,,,,,
1780434815.420,2979871.0,3229.974,2.591485,,,,,,
1780434815.444,2979896.0,3229.975,2.591485,,,,,,
1780434815.468,2979921.0,3229.977,2.591485,,,,,,
1780434815.493,2979946.0,3230.01,2.591422,,,,,status,l_h=11.800000 c_f=220.000000 q=25.000000
1780434815.585,2979971.0,3230.025,2.591485,,,,,,
1780434815.587,2979996.0,3230.056,2.591421,,,,,,
1780434815.588,2980021.0,3230.05,2.591421,,,,,,
1780434815.651,2980046.0,3230.042,2.591358,,,,,,
1780434815.651,2980071.0,3230.055,2.591358,,,,,,
1780434815.652,2980096.0,3230.027,2.591421,,,,,,
1780434815.700,2980121.0,3230.035,2.591358,,,,,,
1780434815.701,2980146.0,3230.051,2.591358,,,,,,
1780434815.767,2980171.0,3230.044,2.591295,,,,,,
1780434815.769,2980196.0,3230.083,2.591358,,,,,,
1780434815.770,2980221.0,3230.139,2.591421,,,,,,
1780434815.856,2980246.0,3230.16,2.591421,,,,,,
1780434815.857,2980271.0,3230.157,2.591358,,,,,,
1780434815.858,2980296.0,3230.166,2.591358,,,,,,
1780434815.952,2980321.0,3230.164,2.591422,,,,,,
1780434815.954,2980346.0,3230.152,2.591485,,,,,,
1780434815.955,2980371.0,3230.142,2.591485,,,,,,
1780434815.956,2980396.0,3230.126,2.591485,,,,,,
1780434816.035,2980421.0,3230.119,2.591421,,,,,,
1780434816.037,2980446.0,3230.145,2.591358,,,,,,
1780434816.038,2980471.0,3230.155,2.591358,,,,,,
1780434816.102,2980496.0,3230.172,2.591358,,,,,,
1780434816.104,2980521.0,3230.174,2.591358,,,,,,
1780434816.105,2980546.0,3230.151,2.591295,,,,,,
