timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1780416984.593,1170112.0,6699.598,9.297585,,,,,status,l_h=42.000000 c_f=220.000000 q=15.000000
1780416984.593,1170137.0,6699.598,9.297825,,,,,,
1780416984.594,1170162.0,6699.612,9.297825,,,,,,
1780416984.656,1170187.0,6699.543,9.297825,,,,,,
1780416984.657,1170212.0,6699.495,9.297825,,,,,,
1780416984.657,1170237.0,6699.549,9.297825,,,,,,
1780416984.707,1170262.0,6699.591,9.297824,,,,,,
1780416984.707,1170287.0,6699.522,9.297824,,,,,,
1780416984.779,1170312.0,6699.48,9.297824,,,,,,
1780416984.780,1170337.0,6699.467,9.297824,,,,,,
1780416984.792,1170362.0,6699.55,9.297824,,,,,,
1780416984.840,1170387.0,6699.475,9.298064,,,,,,
1780416984.840,1170412.0,6699.563,9.298064,,,,,,
1780416984.892,1170437.0,6699.529,9.298064,,,,,,
1780416984.893,1170462.0,6699.591,9.298064,,,,,,
1780416984.958,1170487.0,6699.619,9.298064,,,,,,
1780416984.958,1170512.0,6699.502,9.298305,,,,,,
1780416984.959,1170537.0,6699.639,9.298305,,,,,,
1780416985.025,1170562.0,6699.563,9.298545,,,,,,
1780416985.025,1170587.0,6699.618,9.298545,,,,,,
1780416985.080,1170612.0,6699.674,9.298545,,,,,,
1780416985.080,1170637.0,6699.599,9.298545,,,,,,
1780416985.081,1170662.0,6699.509,9.298545,,,,,,
1780416985.144,1170687.0,6699.632,9.298305,,,,,,
1780416985.144,1170712.0,6699.57,9.298305,,,,,,
1780416985.207,1170737.0,6699.413,9.298065,,,,,,
1780416985.207,1170762.0,6699.399,9.298065,,,,,,
1780416985.208,1170787.0,6699.502,9.298065,,,,,,
1780416985.275,1170812.0,6699.57,9.298065,,,,,,
1780416985.277,1170837.0,6699.57,9.297826,,,,,,
1780416985.343,1170862.0,6699.646,9.297826,,,,,,
1780416985.343,1170887.0,6699.529,9.297826,,,,,,
1780416985.344,1170912.0,6699.653,9.297826,,,,,,
1780416985.401,1170937.0,6699.654,9.297826,,,,,,
1780416985.402,1170962.0,6699.771,9.297826,,,,,,
1780416985.457,1170987.0,6699.75,9.297826,,,,,,
1780416985.457,1171012.0,6699.853,9.297825,,,,,,
1780416985.458,1171037.0,6699.804,9.297825,,,,,,
1780416985.525,1171062.0,6699.926,9.297825,,,,,,
1780416985.525,1171087.0,6699.906,9.297824,,,,,,
1780416985.589,1171112.0,6699.796,9.297824,,,,,,
1780416985.589,1171137.0,6699.81,9.297824,,,,,,
1780416985.590,1171162.0,6699.83,9.297824,,,,,,
1780416985.646,1171187.0,6699.926,9.297585,,,,,,
1780416985.646,1171212.0,6700.05,9.297583,,,,,,
