timestamp_computer,timestamp,sensor1,sensor2,mag,width,crack_x,crack_size,serial out,response
1780417851.424,2036970.0,5175.103,9.262868,,,,,status,l_h=42.000000 c_f=220.000000 q=15.000000
1780417851.424,2036995.0,5174.983,9.262868,,,,,,
1780417851.425,2037020.0,5174.902,9.262868,,,,,,
1780417851.482,2037045.0,5174.935,9.262868,,,,,,
1780417851.482,2037070.0,5174.824,9.26263,,,,,,
1780417851.542,2037095.0,5174.804,9.26263,,,,,,
1780417851.543,2037120.0,5174.841,9.26263,,,,,,
1780417851.605,2037145.0,5174.836,9.26263,,,,,,
1780417851.606,2037170.0,5174.967,9.26263,,,,,,
1780417851.607,2037195.0,5174.942,9.262869,,,,,,
1780417851.671,2037220.0,5174.955,9.262869,,,,,,
1780417851.673,2037245.0,5175.028,9.262868,,,,,,
1780417851.685,2037270.0,5174.959,9.262868,,,,,,
1780417851.739,2037295.0,5175.016,9.262868,,,,,,
1780417851.740,2037320.0,5175.037,9.26263,,,,,,
1780417851.807,2037345.0,5175.105,9.26263,,,,,,
1780417851.809,2037370.0,5175.093,9.262868,,,,,,
1780417851.810,2037395.0,5175.244,9.262869,,,,,,
1780417851.856,2037420.0,5175.101,9.263107,,,,,,
1780417851.857,2037445.0,5174.995,9.263107,,,,,,
1780417851.910,2037470.0,5174.925,9.262868,,,,,,
1780417851.910,2037495.0,5174.942,9.262868,,,,,,
1780417851.974,2037520.0,5175.023,9.262868,,,,,,
1780417851.975,2037545.0,5175.15,9.262868,,,,,,
1780417851.975,2037570.0,5175.13,9.262868,,,,,,
1780417852.037,2037595.0,5175.098,9.262629,,,,,,
1780417852.038,2037620.0,5175.232,9.262629,,,,,,
1780417852.107,2037645.0,5175.224,9.26263,,,,,,
1780417852.107,2037670.0,5175.167,9.262629,,,,,,
1780417852.108,2037695.0,5175.208,9.262868,,,,,,
1780417852.157,2037720.0,5175.118,9.262868,,,,,,
1780417852.157,2037745.0,5175.122,9.262868,,,,,,
1780417852.224,2037770.0,5175.188,9.262868,,,,,,
1780417852.225,2037795.0,5175.097,9.262868,,,,,,
1780417852.225,2037820.0,5175.073,9.26263,,,,,,
1780417852.290,2037845.0,5174.995,9.262869,,,,,,
1780417852.291,2037870.0,5174.999,9.262868,,,,,,
1780417852.358,2037895.0,5175.007,9.262869,,,,,,
1780417852.359,2037920.0,5174.979,9.262868,,,,,,
1780417852.360,2037945.0,5174.852,9.263107,,,,,,
1780417852.425,2037970.0,5174.839,9.263107,,,,,,
1780417852.425,2037995.0,5174.827,9.26263,,,,,,
1780417852.426,2038020.0,5174.913,9.26263,,,,,,
1780417852.472,2038045.0,5175.007,9.26239,,,,,,
1780417852.473,2038070.0,5175.17,9.262151,,,,,,
1780417852.538,2038095.0,5175.154,9.262151,,,,,,
1780417852.539,2038120.0,5175.187,9.262151,,,,,,
1780417852.600,2038145.0,5175.15,9.262151,,,,,,
1780417852.601,2038170.0,5175.016,9.261911,,,,,,
1780417852.601,2038195.0,5175.028,9.261911,,,,,,
1780417852.658,2038220.0,5175.024,9.261911,,,,,,
1780417852.659,2038245.0,5175.037,9.261911,,,,,,
1780417852.731,2038270.0,5175.089,9.261911,,,,,,
1780417852.733,2038295.0,5175.16,9.261911,,,,,,
1780417852.734,2038320.0,5175.041,9.261911,,,,,,
1780417852.793,2038345.0,5175.11,9.261911,,,,,,
1780417852.793,2038370.0,5175.131,9.261911,,,,,,
1780417852.849,2038395.0,5175.073,9.261911,,,,,,
1780417852.859,2038420.0,5175.11,9.26215,,,,,,
1780417852.860,2038445.0,5175.094,9.262629,,,,,,
1780417852.907,2038470.0,5175.11,9.262389,,,,,,
1780417852.908,2038495.0,5175.139,9.262389,,,,,,
1780417852.923,2038520.0,5175.126,9.262389,,,,,,
1780417852.956,2038545.0,5175.094,9.262389,,,,,,
1780417852.980,2038570.0,5175.2,9.262389,,,,,,
1780417853.004,2038595.0,5175.216,9.262389,,,,,,
1780417853.027,2038620.0,5175.302,9.262629,,,,,,
1780417853.050,2038645.0,5175.265,9.262868,,,,,,
1780417853.074,2038670.0,5175.199,9.26263,,,,,,
1780417853.108,2038695.0,5175.118,9.262868,,,,,,
1780417853.132,2038720.0,5175.167,9.262869,,,,,,
1780417853.156,2038745.0,5175.15,9.262869,,,,,,
1780417853.180,2038770.0,5175.122,9.262869,,,,,,
1780417853.203,2038795.0,5175.134,9.262869,,,,,,
1780417853.226,2038820.0,5175.036,9.262869,,,,,,
1780417853.249,2038845.0,5175.052,9.26263,,,,,,
1780417853.283,2038870.0,5174.975,9.26263,,,,,,
1780417853.307,2038895.0,5175.069,9.26263,,,,,,
1780417853.390,2038920.0,5175.056,9.262869,,,,,status,l_h=42.000000 c_f=220.000000 q=15.000000
1780417853.391,2038945.0,5175.179,9.262869,,,,,,
1780417853.392,2038970.0,5175.052,9.262869,,,,,,
1780417853.440,2038995.0,5175.016,9.262869,,,,,,
1780417853.441,2039020.0,5175.003,9.26263,,,,,,
1780417853.489,2039045.0,5174.999,9.26239,,,,,,
1780417853.490,2039070.0,5175.064,9.262389,,,,,,
1780417853.538,2039095.0,5175.122,9.26263,,,,,,
1780417853.538,2039120.0,5175.196,9.262629,,,,,,
1780417853.606,2039145.0,5175.298,9.262629,,,,,,
1780417853.607,2039170.0,5175.327,9.26263,,,,,,
1780417853.607,2039195.0,5175.241,9.262629,,,,,,
1780417853.660,2039220.0,5175.27,9.262629,,,,,,
1780417853.660,2039245.0,5175.155,9.262629,,,,,,
1780417853.725,2039270.0,5175.069,9.262389,,,,,,
1780417853.726,2039295.0,5175.122,9.262629,,,,,,
1780417853.727,2039320.0,5175.171,9.262629,,,,,,
1780417853.790,2039345.0,5175.196,9.26263,,,,,,
1780417853.791,2039370.0,5175.322,9.262629,,,,,,
1780417853.857,2039395.0,5175.351,9.262629,,,,,,
1780417853.858,2039420.0,5175.334,9.262629,,,,,,
1780417853.859,2039445.0,5175.412,9.262629,,,,,,
1780417853.923,2039470.0,5175.375,9.263107,,,,,,
